company_number,n_filings_total,n_filings_year1
OC355280,94,2
OC352379,50,3
OC354830,83,4
OC357325,58,3
OC354822,47,2
OC352369,77,4
OC354678,35,1
OC353209,42,1
OC356480,218,0
OC356044,206,0
OC353081,45,2
OC354096,56,1
OC353169,61,3
OC360515,41,1
OC352853,46,6
OC360198,44,1
OC351357,63,3
OC357069,61,3
OC353776,54,1
OC354604,24,1
OC355787,8,3
OC360402,30,3
OC360527,15,2
OC358066,50,4
OC354946,56,3
OC354487,51,2
OC356289,31,1
07374698,20,1
07375902,14,2
07373913,21,3
07373947,15,2
07374837,30,1
07376179,16,1
07375805,15,1
07376589,33,1
07376656,61,9
07374671,35,1
07373322,25,3
07374394,38,3
07374278,17,1
07374039,18,4
07376207,11,2
07374751,24,1
07375690,23,1
07376497,10,1
07374723,26,1
07376021,12,1
07373402,14,1
07373467,18,1
07373560,12,4
07375265,10,1
07375309,19,1
07374447,12,5
07374000,38,4
07374033,37,3
07376231,9,1
07375602,14,1
07374301,24,3
07374854,8,1
07375216,15,1
07375236,27,1
07375289,14,3
07375297,21,1
07373992,23,1
07372994,37,3
07374750,24,3
07374971,28,5
07375376,17,1
07375533,17,1
07376576,25,3
07376389,25,1
07376451,16,3
07373356,19,2
07373429,22,1
07375199,18,7
07373580,30,1
07375693,20,5
07373878,13,1
07374138,23,8
07375795,16,4
07374683,11,2
07374891,18,5
07374993,26,3
07373311,15,1
07374386,15,1
07375253,11,1
07376285,13,1
07376437,14,3
07373423,42,5
07373482,21,1
07374225,11,1
07375231,14,1
07376196,21,1
07376824,42,1
07376155,30,3
07374452,13,2
07374635,11,1
07374561,32,1
07375900,22,2
07376643,24,1
07374819,18,1
07374865,14,4
07374714,49,14
07373577,18,4
07375156,20,1
07374469,13,1
07374500,23,2
07375889,24,2
07374815,17,2
07374143,18,3
07374604,18,4
07374374,13,5
07373743,19,4
07373751,36,2
07374422,17,1
07373115,13,1
07374926,27,3
07374958,14,3
07374978,21,4
07374994,14,1
07375111,35,4
07374081,16,5
07372913,10,1
07373986,26,3
07372910,18,2
07372921,39,3
07374914,33,1
07375091,15,4
07373872,30,2
07374431,53,4
07372831,11,1
07375132,13,1
07373525,40,2
07373886,22,1
07374610,20,3
07373845,14,1
07374616,13,1
