company_number,n_filings_total,n_filings_year1
OC361284,13,8
OC362821,9,8
OC360569,15,2
OC360611,3,1
OC360758,5,1
OC361618,3,1
OC363608,13,8
OC360786,10,1
OC361402,15,5
OC363518,4,2
OC363155,4,1
OC360579,3,1
OC360739,11,2
OC360629,5,1
OC361571,3,1
OC361852,6,1
OC360803,9,2
OC361459,8,2
OC361604,7,1
OC361826,3,1
OC363731,9,1
OC361209,3,1
OC361859,9,1
OC361013,4,1
OC360782,8,3
OC363782,8,5
OC365077,3,1
OC364031,7,1
OC363987,4,4
OC365093,3,1
OC365045,3,1
OC365085,4,1
OC363774,9,1
OC365168,6,1
OC363769,6,1
OC364905,5,2
OC365084,3,1
OC365157,44,25
OC364026,12,1
OC364035,14,1
OC365050,7,5
OC365058,3,1
OC365123,13,1
OC365170,6,4
OC364018,6,1
OC365098,3,1
OC365121,4,3
OC363958,4,1
OC364702,4,1
OC365076,5,1
OC364704,4,3
OC365354,4,1
OC364027,3,1
OC364041,7,2
OC364045,11,1
OC365124,11,5
OC365177,11,7
OC365307,4,4
OC365365,3,1
OC365080,3,1
OC365109,7,1
OC363811,9,1
OC364697,3,1
OC364796,9,1
OC365037,5,5
OC365102,3,1
OC364518,8,6
OC365682,5,1
OC361885,7,2
OC362006,4,3
OC361018,3,1
OC361098,7,2
OC361519,13,5
OC365206,11,1
OC360858,4,2
OC361388,4,1
OC365257,11,1
OC365399,4,2
OC360859,4,2
OC361884,7,1
OC362046,3,1
OC362100,6,1
OC361089,6,1
OC361109,4,3
OC365250,3,1
OC365456,10,3
OC360896,8,1
OC360915,9,3
OC361246,13,2
OC362308,4,4
OC362724,10,1
OC361069,8,1
OC365229,8,6
OC365246,8,2
OC361048,6,3
OC361527,5,1
OC361532,4,1
OC365400,10,2
OC365545,11,2
OC361234,4,1
OC361871,9,1
OC361075,10,3
OC365459,5,2
OC362055,3,1
OC361060,9,3
OC361484,6,1
OC362026,4,1
OC361125,4,1
OC365238,6,1
OC365541,3,1
OC361317,4,1
OC362198,10,1
OC362310,5,1
OC361056,6,1
OC362027,10,1
OC365260,3,1
OC365548,3,1
OC365396,6,3
OC360827,12,1
OC361126,4,4
OC361187,3,1
OC361525,8,1
OC365252,4,2
OC362011,7,4
OC362058,7,2
OC362401,7,1
OC361090,5,1
OC361239,7,1
OC361331,8,1
OC361993,8,1
OC362291,3,1
OC362318,4,1
OC361102,7,4
OC361147,9,3
OC361165,3,1
OC365230,5,2
OC365243,4,1
OC361182,4,1
OC361067,8,1
OC365687,3,1
OC361505,9,8
OC361211,6,1
OC361100,4,1
OC361141,5,2
OC361312,6,1
OC361516,10,8
OC365394,5,3
OC361324,5,1
OC362036,12,3
OC362266,10,1
OC361475,6,1
OC365198,6,1
OC365392,13,6
OC361474,4,4
OC363169,4,1
OC365929,7,1
OC361631,3,1
OC362196,3,1
OC362223,6,1
OC362772,3,1
OC361566,4,2
OC365932,7,1
OC365936,3,1
OC361755,4,1
OC362207,4,4
OC362805,9,1
OC363005,5,1
OC363186,6,5
OC365867,13,4
OC362218,3,1
08038150,32,1
08037920,36,1
08039937,37,1
08053779,44,1
08262608,27,3
07903276,40,2
07936097,42,4
08334226,30,1
08328764,34,2
07932263,40,1
07913027,40,1
08057029,34,4
08190540,34,1
SC421104,32,1
07932477,46,1
08209945,31,4
08182040,27,1
08038967,31,1
08212028,41,2
08048833,39,3
08221503,33,2
08053267,46,6
NI612332,36,0
08053264,38,1
08057837,31,2
SC437156,43,1
08065954,28,1
08063605,34,2
08135778,29,1
08059846,56,1
NI612608,27,2
08064357,28,1
SC419864,59,1
SC421492,36,1
08202965,35,1
08323877,51,4
08133062,31,1
08198779,33,2
08221195,38,4
SC423660,56,8
08270166,52,7
08278354,36,3
08065592,33,1
08177943,32,1
08340841,60,1
08040850,37,4
08174329,37,2
08051910,34,2
08288878,30,1
08044840,33,1
08259694,26,1
08018539,31,2
08062816,31,5
08179967,29,1
NI612428,44,9
08326274,36,2
07950793,43,2
08276117,29,2
08210876,36,2
08199469,33,3
NI612810,44,4
08008628,97,22
SC424034,33,3
08014220,34,3
08050873,28,1
08228373,38,1
08048390,34,2
08056060,55,12
08017790,28,2
08206069,30,1
08068338,35,1
08061140,29,2
08156977,26,1
08067094,32,1
08016087,41,1
08050254,29,2
07998925,41,1
08263161,34,3
08064815,40,4
07931184,31,1
08056975,31,2
07914457,42,3
07996531,45,3
NI612551,90,6
08237590,38,1
08073827,33,1
08169511,33,1
SC419537,40,4
08313597,52,3
08048579,31,1
08070448,31,1
08178445,46,4
08039246,31,1
08036381,42,4
08038933,23,1
08082749,73,11
08158836,41,1
NI612592,30,2
08318687,35,3
08071540,32,3
08084967,34,3
08176826,38,5
08140318,66,15
08056569,33,1
08028691,44,2
08058476,35,2
07975204,42,3
08068739,32,1
07917780,37,3
08057335,33,1
08057288,35,1
08170058,27,1
08135126,34,1
08217059,32,1
08188809,50,5
08070583,33,1
08071651,42,2
08178178,28,1
08158101,26,1
08084947,38,2
08038990,29,1
08039477,38,3
SC422337,34,1
08039126,35,1
08039635,31,3
07917248,62,2
08039882,63,5
SC422392,38,3
08288573,33,1
08073262,29,1
08057842,41,1
07976747,41,2
08134279,34,1
NI612124,47,2
08124421,42,3
08025670,36,6
08190195,29,1
08041632,29,1
08066391,54,1
08075450,30,1
08065765,27,1
08021309,32,1
08076261,43,1
08293182,38,1
SC424394,32,1
NI610647,75,7
07931269,28,1
08065840,31,3
08060851,34,1
08073029,31,1
07946345,30,3
08123973,31,2
08271516,45,2
07908309,44,4
08079998,23,1
07966137,44,8
08065405,37,6
08188277,63,2
08300357,43,5
SC424469,36,1
08062018,45,2
07914089,40,3
08234037,55,5
07993763,33,1
08165105,55,7
08055045,48,7
08054037,41,1
08001836,47,1
08055327,35,2
08077103,45,2
08220805,29,1
08180890,46,1
07896236,46,4
08051107,31,2
08109015,35,1
07975353,36,1
08002333,50,1
07991286,56,3
07985136,28,1
08180934,66,10
08117007,32,1
08298591,43,3
08115045,35,1
08157426,41,1
08271894,47,5
08130154,42,3
08343310,56,2
08269482,52,1
07994269,41,2
08113882,33,1
07981998,46,1
08143333,29,2
08106052,43,1
08119761,42,1
08289549,48,1
08033097,31,1
07988033,41,2
08230446,41,1
08057294,30,2
08062144,35,1
OC379311,40,2
SO304091,50,7
OC378921,38,4
OC379190,37,1
OC379312,57,1
OC379224,30,1
OC379366,32,2
OC373956,41,1
OC374321,39,4
OC371318,41,1
OC378093,57,2
OC374079,48,6
OC378455,54,3
OC373372,48,2
OC372664,31,1
OC373280,36,1
OC378667,38,4
OC374955,101,9
SO303891,31,2
SO303739,38,1
OC375645,157,0
OC380846,43,2
OC372521,82,5
OC371330,37,4
OC380376,34,3
OC381242,28,1
OC372712,111,3
OC373375,44,1
OC373752,76,1
OC371807,36,3
OC379988,30,2
OC380254,36,2
OC374670,42,2
OC372764,44,1
OC379444,29,1
OC371783,37,2
OC372780,49,1
OC374855,39,3
SO303798,41,1
OC379490,49,2
OC372480,37,1
OC372254,37,2
OC372726,51,4
OC379804,48,6
OC380635,66,6
OC372549,37,6
OC379737,48,6
OC374095,31,1
OC380922,33,2
OC381077,34,4
OC372694,43,1
OC374843,71,10
OC372438,32,1
OC380515,41,12
SO303744,62,1
OC374187,28,1
OC380609,76,5
OC374563,31,1
OC372229,37,5
OC373411,50,13
OC376927,36,3
OC372358,47,5
OC372749,51,1
OC372065,40,3
OC378349,48,2
OC381273,31,1
OC378728,31,1
OC376907,52,8
OC378831,40,5
OC373937,42,3
OC378810,38,1
OC378209,52,11
SO304084,32,1
OC373542,70,5
OC371647,47,1
OC378712,38,3
SO304104,126,0
OC378888,36,1
OC371779,39,4
OC380071,34,4
OC380187,85,1
OC380700,53,4
OC372506,37,6
NC000976,37,6
OC380924,31,1
OC379561,33,4
OC380674,28,1
OC379580,35,1
OC371323,33,3
OC381015,30,1
OC380553,34,2
OC381101,60,6
OC378739,46,9
OC378764,42,10
OC380551,58,7
OC371283,42,2
OC379163,45,3
OC373892,37,10
OC380164,116,0
OC380687,109,6
OC371892,52,1
OC373067,28,1
OC380572,31,2
OC372027,29,1
OC373038,45,2
OC371300,50,2
OC371205,37,2
OC380466,32,1
OC372706,34,1
OC371582,44,3
OC374003,71,1
OC373802,39,1
OC374595,42,6
OC373962,38,1
OC372096,47,1
OC373020,51,3
OC375119,58,6
OC379617,43,1
OC379958,41,1
OC376654,48,2
SO303777,43,7
OC373044,33,1
OC376134,48,7
OC373220,48,4
OC376492,54,2
OC373803,61,13
OC374817,102,6
OC379684,36,1
OC379630,67,5
OC378605,53,5
OC373659,51,8
OC380448,35,1
OC372880,37,1
OC373183,35,1
OC374590,30,1
OC372557,35,3
OC380204,30,5
OC372657,73,3
OC373200,34,1
OC374719,34,2
OC374334,41,3
OC374452,31,2
OC380812,42,4
OC371734,61,4
OC375735,44,3
OC374963,28,1
OC378970,51,6
OC374527,40,1
OC372914,31,2
OC374987,880,0
OC381251,40,1
SO304000,37,1
OC377041,34,1
OC379918,42,10
OC372981,31,1
OC372363,79,10
OC374991,39,1
OC374126,57,1
OC373330,43,1
OC380503,32,2
OC374252,45,9
OC374732,46,8
OC373798,54,3
OC380979,33,3
OC374498,59,7
OC374035,66,11
OC380955,51,1
NC000856,95,3
OC371755,50,5
OC373214,29,1
OC373102,35,2
OC371717,55,5
OC371772,44,2
OC374036,53,2
OC373373,49,7
OC374548,94,23
OC372845,39,2
OC373360,32,2
OC373383,46,3
SO303736,50,1
OC381100,38,2
OC374240,40,7
OC379449,27,1
OC373475,46,2
OC373688,34,1
OC380681,27,2
OC380708,37,3
OC371298,36,3
OC381021,56,2
OC374644,43,1
OC381127,48,3
OC371694,115,0
OC380786,28,1
SO304175,38,6
OC378312,41,5
OC377432,48,5
OC376489,74,12
OC378961,47,2
OC378816,38,4
OC376732,43,1
07896627,12,1
07895277,13,2
07895285,21,2
07895561,15,3
07896116,12,1
07894978,27,1
07895154,12,1
07896381,36,2
07895056,58,7
07895057,24,1
07895615,12,6
07895079,21,1
07896532,8,2
07896899,14,2
07894614,15,1
07894966,14,2
07895652,18,5
07896916,16,1
07897162,16,2
07896549,32,4
07896863,32,1
07896866,13,1
07897055,13,3
07894904,9,1
07898132,15,1
07898174,9,1
07895382,10,1
07897117,25,3
07897310,7,1
07897346,22,1
07895954,16,1
07896277,10,1
07896621,8,1
07897608,27,1
07898019,25,1
07896822,12,1
07896859,19,1
07894902,11,1
07895116,12,4
07898135,10,3
07897035,21,4
07895030,23,1
07898136,20,2
07897141,40,1
07897210,27,2
07897322,43,2
07897636,12,1
07895934,9,1
07896239,10,2
07898160,15,1
07895805,21,12
07896265,19,1
07897640,6,1
07897648,12,1
07898415,22,9
07898774,10,3
07895795,14,2
07899038,24,3
07896487,9,1
07895925,17,4
07899012,18,1
07899017,19,1
07895762,35,1
07896258,19,1
07896360,12,1
07899076,15,1
07896475,32,3
07897609,9,1
07898824,29,7
07898985,29,1
07896233,14,1
07897796,7,1
07897889,25,2
07896346,14,1
07895458,19,1
07895793,12,3
07895276,30,1
07895807,18,3
07896553,17,1
07898023,10,1
07897718,11,1
07897785,36,5
07898869,12,1
07898962,10,1
07895797,24,2
07899034,11,2
07895708,8,1
07895862,18,3
07897891,13,4
07897939,13,2
07898077,20,1
07894714,21,3
07896469,7,1
07897333,21,4
07895456,29,1
07897549,9,1
07898959,9,1
07895814,8,1
07898169,36,2
07898194,16,1
07898325,13,2
07897355,21,2
07896224,12,1
07897338,7,2
07894735,9,3
07895928,31,1
07895801,11,1
07896589,27,3
07898670,20,10
07898918,35,1
07898946,15,6
07895250,12,2
07896447,13,1
07896622,18,1
07899187,14,3
07899302,7,1
07896919,11,1
07899433,18,1
07896870,12,4
07895328,7,1
07897092,35,1
07897264,28,1
07899463,16,1
07898280,14,1
07898408,7,1
07896550,15,3
07896601,18,1
07898334,9,1
07899094,19,2
07899105,33,4
07899116,13,2
07899188,9,1
07899197,7,1
07899303,16,5
07896754,24,6
07896765,11,1
07897513,19,8
07896977,11,2
07899227,13,4
07899258,20,1
07897585,33,6
07897311,13,1
07899473,16,1
07899498,13,6
07898249,6,1
07898285,8,1
07898752,23,3
07895020,10,1
07896453,30,3
07899129,17,1
07899348,9,1
07897495,13,2
07899396,25,1
07899261,30,3
07897569,24,1
07897575,16,5
07897941,13,1
07897083,28,5
07897253,16,7
07895729,32,4
07896748,8,1
07898772,31,8
07896406,7,1
07899111,28,1
07899295,12,1
07896927,10,1
07896973,26,1
07899240,24,3
07895593,13,1
07897589,24,6
07897854,16,7
07897265,20,8
07899653,7,1
07898045,16,1
07898098,12,2
07894967,10,1
07899209,16,1
07899446,17,1
07895320,29,1
07895332,10,1
07895434,12,3
07899510,15,1
07899652,13,3
07898241,11,5
07895702,15,7
07895769,15,1
07897802,26,2
07895247,7,1
07896569,8,2
07899321,17,1
07897506,17,1
07899404,9,4
07899425,28,3
07895307,19,1
07898046,14,2
07897410,28,2
07899550,18,3
07898262,8,1
07898345,11,1
07895258,12,1
OC374281,7,1
OC372552,15,1
OC373696,14,1
OC374069,17,2
OC374683,24,2
OC374804,19,1
OC374842,14,1
OC374443,16,1
OC373043,24,3
OC374173,24,1
OC375230,9,1
OC374694,18,2
OC374746,23,2
OC374820,20,2
OC373850,7,1
OC373929,7,1
OC373577,41,4
OC373642,31,4
OC373792,21,3
OC374989,14,5
OC375469,30,6
OC375471,18,7
OC374238,15,1
OC373952,30,9
OC375757,11,1
OC375758,7,1
OC375824,9,2
OC375236,9,1
OC374721,7,1
OC374899,22,1
OC373806,6,1
OC373652,22,7
OC375687,5,1
OC373971,17,2
OC374111,10,1
OC375741,19,2
OC375750,19,4
OC374468,76,1
OC374588,15,3
OC374142,17,2
OC375973,12,2
OC375181,45,2
OC375117,14,1
OC373847,7,1
OC373886,16,3
OC375245,5,1
OC375111,17,4
OC375199,28,2
OC375450,14,2
OC375561,17,2
OC374086,23,12
OC373865,16,3
OC375731,10,1
OC375752,22,4
OC374566,20,2
OC375809,9,1
OC375818,5,2
OC375100,43,6
OC372346,11,1
OC373905,15,7
OC374081,7,1
OC373176,9,1
OC373395,28,5
OC372853,7,1
OC373746,8,1
OC373828,15,2
OC374016,7,1
OC374439,26,2
OC374089,21,1
OC374285,9,1
OC375882,13,5
OC375909,60,6
OC375966,10,1
OC374829,33,13
OC375011,9,1
OC375214,9,1
OC374735,37,4
OC373928,14,2
OC373931,5,1
OC373776,22,1
OC373785,9,1
OC375332,8,1
OC375463,18,1
OC374024,23,1
OC374131,28,1
OC375762,5,1
OC375786,23,1
OC375794,8,1
OC374441,9,1
OC373570,8,1
OC373643,67,10
OC373791,11,1
OC375203,9,1
OC375225,16,1
OC375720,27,9
OC373869,34,5
OC375362,5,1
OC375790,12,1
OC374525,16,1
OC375950,8,1
OC375951,14,1
OC375051,14,2
OC375059,27,3
OC374898,7,1
OC374905,8,1
OC375032,57,7
OC375093,43,19
OC373417,12,1
OC373641,26,10
OC373657,26,1
OC375337,26,2
OC373970,14,1
OC374236,12,1
OC375737,27,2
OC374454,33,1
OC374146,22,2
OC375813,14,1
OC373466,14,1
OC373625,10,1
OC374942,11,3
OC374994,17,5
OC375171,16,1
OC374914,9,1
OC373362,14,2
OC373565,12,1
OC373671,17,4
OC375512,26,6
OC375536,13,1
OC375822,22,2
OC375847,14,1
OC375864,21,3
OC375965,10,1
OC373694,8,1
OC373840,5,1
OC373605,29,3
OC373666,19,3
OC375247,10,1
OC375455,33,1
OC374448,7,1
OC375805,5,1
OC375814,14,1
OC375936,5,1
OC372314,7,1
OC372417,43,16
OC373716,10,3
OC373823,10,2
OC372447,31,1
OC372861,24,4
OC373121,28,1
OC373505,16,1
OC374396,13,2
OC372683,9,3
OC372941,12,2
OC373587,9,1
OC374070,28,1
OC374788,9,1
OC372737,20,1
OC373034,21,1
OC373325,41,4
OC373558,5,1
OC375096,30,12
OC374980,9,1
OC373846,26,1
OC373599,144,0
OC375602,11,1
OC375211,14,1
OC373870,31,1
OC374437,21,3
OC374500,7,1
OC375954,14,1
OC375967,9,1
OC374911,6,1
OC373578,46,1
OC375582,10,1
OC375588,19,1
OC375371,11,4
OC375759,13,1
OC375788,15,2
OC375811,7,1
OC375840,31,1
OC375852,28,14
OC374928,8,2
OC375078,26,3
OC373495,42,8
OC375023,19,2
OC373425,7,1
OC373442,29,1
OC375200,10,2
OC374073,62,1
OC375354,14,1
OC375528,24,4
OC374406,8,1
OC374559,44,4
OC374571,15,1
OC374149,7,1
OC374192,29,1
OC374360,7,2
OC374495,9,1
OC375908,24,4
OC375974,4,1
07989245,38,17
07999381,28,16
07999341,22,10
08028501,8,1
08032707,5,1
08043322,12,11
08046513,73,13
08065733,30,5
08075795,16,2
08079191,16,6
08137587,19,7
08141465,37,11
08157967,29,1
08164772,27,16
08201725,5,1
08201831,6,2
08007511,17,2
08013887,73,12
08069279,44,21
08083402,32,8
08083904,73,5
08092426,28,2
08093929,24,6
08105785,17,6
08214603,19,2
08218294,6,1
08260966,18,1
08275701,27,7
08283438,27,7
08337075,28,7
07909661,15,4
07925903,36,5
07933794,23,12
07934524,45,17
07987393,51,11
08308938,4,1
08307651,18,7
08311253,49,13
08320586,26,7
08155305,55,6
08300620,43,12
08237499,265,0
08248437,112,17
08150144,61,14
SC435598,23,5
08135472,19,6
08142169,43,12
08147985,28,2
08148058,33,2
08185826,6,3
08213817,23,9
08320735,28,7
08334841,16,5
08160397,35,7
08159919,32,2
08167866,8,1
08175956,16,7
08179202,36,12
08223732,59,9
08223746,26,2
08227289,125,0
08232728,23,1
08234198,19,1
08235650,25,7
08238812,57,20
08241109,19,6
08239134,47,6
08306443,29,23
08028744,18,7
08030574,29,20
08038154,22,11
08039641,44,17
08047425,45,3
08062319,27,5
08062960,45,17
08071953,14,1
08104412,23,6
08101746,21,10
08338295,14,10
08019203,62,9
08044638,15,4
08060815,8,2
08076004,11,3
08098466,38,8
08102429,38,14
08109716,24,4
08268472,14,1
08272932,25,7
08272167,33,11
08283442,25,6
08283279,10,1
08314685,26,9
07905873,32,11
07911410,21,8
07921731,24,2
07920538,37,2
07934858,29,1
07936991,13,4
07934515,29,18
07989516,25,12
07998783,13,2
08004713,10,7
07912962,18,2
07914385,51,24
07928319,8,1
07929330,77,17
07965227,40,9
07976463,15,4
07984573,43,6
08029473,5,2
08036883,4,3
08066323,5,5
08084218,4,2
08085706,11,9
08129925,4,2
08248045,12,10
08270923,3,1
07924617,3,1
07923420,9,7
07962254,4,4
07962266,4,4
07962239,4,4
07962283,4,4
07937759,6,4
07944211,10,10
07944170,10,10
07944084,10,10
07944051,10,10
07944109,12,12
07944155,10,10
07952880,4,2
07962262,4,4
07962296,4,4
08006080,7,5
08011512,5,2
08008851,3,1
08016079,3,1
08338324,11,9
08301059,17,14
08285105,4,4
08303324,4,1
08311407,6,4
08322895,13,10
08139861,4,1
08152146,6,5
08172539,4,2
08174286,3,1
08201523,4,1
08208633,7,4
08208702,5,5
08224816,7,5
08275865,5,3
08284187,4,3
08330294,42,4
08430670,37,1
08580288,57,1
08807555,42,12
08567902,33,2
08617194,27,1
08352860,36,1
08562946,35,1
08569358,36,2
08581076,43,2
08577189,31,1
08429897,41,1
08455205,43,2
08566640,28,1
08636651,31,2
08676472,32,1
08427074,32,4
08427665,35,1
08607611,32,1
08572202,46,1
08468586,29,3
08469982,44,1
08368595,40,4
08526075,31,4
08640188,37,1
SC456990,28,1
SC457796,26,1
08664008,33,1
08608113,37,1
08605367,33,3
08528067,34,1
08538477,72,3
NI619927,32,1
08648551,42,1
08476051,26,1
08791151,32,1
08656690,26,3
08810912,29,1
08683063,40,2
08807586,41,1
08644300,24,1
08777696,24,1
08635279,48,2
08667554,37,6
08435686,33,1
08528478,138,0
08523970,35,3
08721211,37,6
08514831,37,4
08595326,38,1
08462155,28,2
08654106,68,1
08502427,44,4
08502498,28,1
08502692,34,2
08451873,99,9
08501859,39,3
08501819,26,1
08502244,65,6
08501814,28,2
08502982,27,1
08407498,39,1
08501731,32,2
08589733,37,1
08433039,23,1
08459723,31,3
08816888,34,1
08554695,40,1
08569688,35,1
08425079,30,1
08574237,41,1
08589122,34,1
08804839,35,8
08760535,61,1
08722861,31,5
08657167,31,1
08380136,33,1
08443170,29,1
08595608,51,22
08760348,37,7
08608950,29,3
08528324,29,2
08527233,36,1
08826720,38,4
08483705,48,14
08529714,47,1
08462674,33,1
08776647,29,2
SC450276,27,1
08555299,26,1
08656182,40,1
08780587,27,1
08683406,36,2
08527028,28,1
08404229,31,3
08624631,26,1
08594160,40,1
08500796,49,2
08531158,32,1
08620122,26,1
08509548,40,3
SC449843,26,1
08502149,31,2
08502368,41,1
08503138,28,1
08501509,49,3
08502962,32,1
08501489,46,4
08370698,46,9
08517672,46,2
08638421,32,5
08698163,29,3
SC456587,28,1
08515204,28,1
08535756,33,1
08532804,31,4
08491138,34,1
SC461989,39,4
08415192,33,1
08503013,30,1
08601596,40,1
08535917,25,2
08644748,32,1
08675997,32,1
08530216,41,5
08517699,39,1
08428347,59,18
08684020,28,1
08495353,37,1
08490354,31,1
08362092,29,1
SC445640,27,1
08371790,34,1
08537507,30,1
08650394,42,2
08633070,30,4
08529030,40,1
08713086,37,4
08528026,26,1
08414109,30,4
08433265,45,1
08690198,39,1
08458471,28,1
08537485,74,7
08505981,33,1
08527188,30,1
08516450,25,1
08503241,28,1
08584697,37,3
08427135,50,3
08813587,44,1
08492797,43,1
08406330,26,1
08532454,41,1
08474796,28,1
08656219,25,1
08661306,29,3
08509556,34,2
08458348,36,1
08540186,28,4
08554508,25,1
08531444,27,1
08654306,30,1
08804170,32,3
08817289,32,3
08592067,42,1
08516906,26,1
08532318,32,2
SC448987,37,1
NI618428,27,1
08633885,25,1
08402404,30,1
08524391,33,1
08612945,60,8
08461181,32,1
08531015,28,1
08346269,40,4
08534597,31,3
08499136,29,3
08781741,46,2
08499236,51,2
08497780,37,2
08497924,41,3
08499380,30,1
08497824,27,1
08445602,36,2
SC451249,31,1
08497413,34,1
08498001,32,1
08497587,28,5
08498417,26,1
08456220,33,1
08346944,30,1
08524744,32,1
08525297,26,1
08572998,40,1
08532865,28,2
08535490,41,3
SC446397,26,1
08559545,58,2
NI618446,25,1
OC389432,39,3
OC384932,31,1
OC383850,31,2
OC383453,63,2
OC389190,51,2
OC385460,43,1
OC384947,50,9
OC385695,37,7
OC385218,42,1
OC382844,37,2
OC385013,27,2
OC386830,34,4
OC384159,39,1
OC384521,43,2
OC388361,34,7
OC385209,73,27
OC387484,24,1
OC387295,37,2
OC385239,192,0
OC385284,30,1
OC385282,29,3
OC385249,29,2
OC385146,32,3
OC384619,27,3
OC384618,41,1
OC385110,28,2
OC387520,33,2
OC385203,32,1
OC385722,46,2
OC385394,48,8
SO304492,35,1
OC384850,43,4
OC385141,41,2
OC385274,29,1
OC385491,47,6
OC385629,28,2
SO304437,28,1
OC385594,42,1
OC385192,37,1
OC382946,37,1
OC385599,48,1
OC387584,40,3
OC383211,32,1
OC385466,42,4
NC001034,37,9
SO304435,53,3
OC385244,28,1
OC384762,45,1
OC385635,149,0
OC387017,26,1
OC386264,40,6
OC385005,33,5
OC385411,117,0
OC385263,35,1
OC383750,35,1
OC384838,43,1
OC383595,31,1
OC387320,29,1
OC385246,48,1
OC387471,51,1
OC385079,36,2
OC387766,44,2
OC385426,51,3
OC385448,1240,0
OC384184,47,7
OC385050,36,5
OC385701,33,1
OC389184,2814,0
OC389182,5132,0
OC386129,4259,0
OC384131,32,4
OC387885,34,3
OC382780,37,11
OC385327,30,2
OC385305,27,1
OC385308,28,2
OC385841,49,3
OC387167,31,4
OC386135,55,14
OC386136,40,9
OC387897,29,1
OC387894,31,1
OC385847,102,17
OC385748,42,1
OC389881,39,1
OC385981,61,5
OC385863,32,1
OC386905,32,2
OC386335,47,7
OC385610,42,1
OC389373,81,15
OC386055,36,1
OC386302,32,3
OC388819,46,3
OC385979,29,1
OC388165,32,3
SO304486,35,3
OC389224,37,2
OC389597,40,4
OC389596,41,6
OC385056,128,0
OC386667,26,1
OC387431,46,1
OC386002,34,3
OC388785,50,1
OC385882,37,1
SO304462,42,3
OC386074,61,1
OC386179,47,1
OC386260,30,3
OC386718,34,2
OC385522,27,2
NC001075,36,6
OC387720,30,1
OC386437,37,5
SO304512,55,10
OC386386,28,2
SO304535,28,2
SO304506,27,2
OC381579,42,2
OC389161,64,3
OC383957,48,5
OC387580,36,1
OC382318,149,0
OC386461,55,4
OC387425,33,1
OC388569,32,1
OC383435,62,2
OC386257,36,1
OC386187,32,1
OC390020,33,1
OC386214,36,1
OC386381,67,5
OC388075,25,1
OC384820,26,1
OC386075,32,5
OC385965,36,1
OC386099,32,1
OC381921,36,2
OC387970,50,1
OC384721,60,2
OC386331,49,2
OC386497,40,6
OC381334,35,1
OC381526,35,2
OC386582,26,1
OC386861,49,6
OC384172,34,1
OC386404,45,1
OC389140,37,1
OC387210,37,3
OC389648,31,2
OC386467,30,1
OC386078,34,2
OC387426,44,5
OC390120,29,2
OC383538,36,1
OC389850,48,2
OC388005,66,13
OC386446,32,3
OC386447,37,4
OC386977,39,1
OC389647,42,13
OC388271,71,1
OC386976,47,9
OC386202,63,1
SO304275,38,2
OC385026,31,2
OC384709,42,3
OC390003,56,9
OC389565,35,1
OC387046,36,2
OC386822,35,3
OC386575,38,6
OC387360,32,1
OC389277,59,1
OC382179,46,8
OC384267,38,1
OC384523,34,3
OC387815,32,3
OC386449,32,3
OC383298,46,1
SO304544,29,2
OC386324,31,1
OC386151,44,12
OC388467,60,17
OC389037,27,1
OC387465,68,21
OC386965,52,3
OC386340,40,2
OC387495,40,1
OC387566,29,1
OC381951,81,4
SO304578,31,2
OC388848,43,2
OC383537,27,1
OC387739,57,2
OC381562,33,1
OC387884,27,1
OC389166,36,7
08559467,66,7
08346271,111,5
08661469,153,0
08659252,32,1
08765635,65,1
08804263,146,0
08556128,135,0
08749672,47,10
08785322,29,2
08449586,116,0
08727722,40,6
08630329,43,7
08793266,127,0
08623329,56,7
08719400,53,6
08397918,40,1
08717989,78,16
SC441988,67,12
08528493,288,0
08654028,188,0
08792996,59,13
08777765,117,0
08694566,34,2
08624398,179,0
08826541,51,8
08409650,82,23
08422787,59,7
08716713,83,10
08380438,39,1
08615844,79,14
08684474,166,0
08589183,40,6
08594721,89,9
08761494,155,0
08792716,74,22
08409509,53,1
08616013,149,0
08466829,62,3
08757850,73,11
08397584,222,0
08595042,118,0
08782139,68,12
08528504,101,13
08434613,112,3
08344738,68,12
08377465,96,1
08700698,181,0
08401609,133,0
08632552,206,0
08432822,55,5
NI618945,5,1
NI618954,6,1
NI618983,3,1
NI619009,4,2
NI619018,5,1
NI619001,13,1
NI619127,12,3
NI619137,4,1
NI619104,3,1
NI619303,10,1
NI618630,28,1
NI619193,6,2
NI619053,17,1
NI619055,12,1
NI619322,11,1
NI618668,14,1
NI618925,18,1
NI618934,7,3
NI619169,3,1
NI619249,4,1
NI618944,4,1
NI619142,8,1
NI619161,9,2
NI619202,11,1
NI619218,3,1
NI619115,4,1
NI619117,28,2
NI619333,4,2
NI619471,16,1
NI619373,33,4
NI619356,12,1
NI619420,6,3
NI619437,4,1
NI619447,19,1
NI619485,19,1
NI619405,4,2
NI619484,7,5
NI619401,4,3
NI619439,14,1
NI619959,22,9
NI620020,15,1
NI620073,5,1
NI619756,10,1
NI619836,6,1
NI619843,14,1
NI620224,5,1
NI619599,16,1
NI619681,35,4
NI619699,5,1
NI619747,4,2
NI619789,30,3
NI619864,6,1
NI620014,4,1
NI620108,27,3
NI620118,3,1
NI620218,5,2
NI619923,24,1
NI619532,5,1
NI619571,4,1
NI619605,3,1
NI619632,18,1
NI619728,8,1
NI619782,20,1
NI619826,21,3
