company_number,n_officers_total,n_officers_active
OC363608,5,1
OC360786,2,2
OC361402,4,2
OC363518,2,2
OC363155,2,2
OC360579,2,2
OC360739,2,2
OC360629,2,2
OC361571,2,2
OC361852,2,2
OC360803,3,3
OC361459,4,2
OC361604,3,3
OC361826,2,2
OC363731,2,2
OC361209,2,2
OC361859,2,2
OC361013,2,2
OC360782,2,2
OC363782,4,2
OC365077,2,2
OC364031,2,2
OC363987,2,2
OC365093,2,2
OC365045,2,2
OC365085,2,2
OC363774,4,4
OC365168,3,3
OC363769,2,2
OC364905,2,2
OC365084,4,4
OC365157,17,8
OC364026,2,2
OC364035,4,2
OC365050,4,2
OC365058,2,2
OC365123,4,2
OC365170,3,2
OC364018,2,2
OC365098,2,2
OC365121,2,2
OC363958,2,2
OC364702,2,2
OC365076,2,2
OC364704,3,3
OC365354,2,2
OC364027,2,2
OC364041,2,2
OC364045,3,1
OC365124,4,2
OC365177,5,2
OC365307,2,2
OC365365,2,2
OC365080,2,2
OC365109,2,2
OC363811,4,4
OC364697,2,2
OC364796,2,2
OC365037,2,2
OC365102,2,2
OC364518,2,1
OC365682,2,2
OC361885,2,2
OC362006,2,2
OC361018,2,2
OC361098,3,3
OC361519,4,2
OC365206,2,2
OC360858,2,2
OC361388,2,2
OC365257,4,2
OC365399,2,2
OC360859,2,2
OC361884,4,4
OC362046,2,2
OC362100,2,2
OC361089,2,2
OC361109,2,2
OC365250,2,2
OC365456,4,2
OC360896,2,2
OC360915,7,6
OC361246,2,1
OC362308,2,2
OC362724,2,2
OC361069,2,2
OC365229,4,4
OC365246,2,2
OC361048,2,1
OC361527,2,1
OC361532,2,2
OC365400,3,3
OC365545,2,2
OC361234,2,2
OC361871,2,2
OC361075,3,0
OC365459,2,2
OC362055,2,2
OC361060,3,2
OC361484,8,8
OC362026,2,2
OC361125,2,2
OC365238,2,2
OC365541,2,2
OC361317,2,2
OC362198,3,3
OC362310,2,2
OC361056,3,2
OC362027,3,2
OC365260,2,2
OC365548,2,2
OC365396,2,2
OC360827,2,2
OC361126,4,4
OC361187,2,2
OC361525,2,2
OC365252,3,3
OC362011,3,3
OC362058,2,2
OC362401,2,2
OC361090,2,2
OC361239,2,1
OC361331,2,2
OC361993,2,1
OC362291,2,2
OC362318,2,2
OC361102,3,2
OC361147,2,1
OC361165,3,3
OC365230,2,2
OC365243,2,2
OC361182,2,2
OC361067,2,2
OC365687,2,2
OC361505,5,3
OC361211,3,2
OC361100,3,3
OC361141,2,1
OC361312,2,2
OC361516,4,0
OC365394,2,2
OC361324,2,2
OC362036,2,2
OC362266,4,2
OC361475,2,2
OC365198,2,2
OC365392,2,1
OC361474,2,2
OC363169,7,7
OC365929,2,2
OC361631,2,2
OC362196,2,2
OC362223,2,2
OC362772,2,2
OC361566,3,3
OC365932,2,2
OC365936,2,2
OC361755,2,2
OC362207,2,2
OC362805,4,2
OC363005,2,2
OC363186,4,2
OC365867,3,2
OC362218,2,2
08038150,2,0
08037920,1,1
08039937,1,1
08053779,1,1
08262608,1,1
07903276,1,1
07936097,4,2
08334226,2,1
08328764,1,1
07932263,1,1
07913027,3,0
08057029,2,1
08190540,2,2
SC421104,2,2
07932477,4,1
08209945,3,2
08182040,1,1
08038967,4,2
08212028,2,1
08048833,1,1
08221503,1,1
08053267,3,3
NI612332,4,1
08053264,1,1
08057837,2,2
SC437156,3,1
08065954,1,1
08063605,2,2
08135778,1,1
08059846,3,2
NI612608,1,1
08064357,2,2
SC419864,12,3
SC421492,1,1
08202965,2,2
08323877,2,2
08133062,3,3
08198779,2,2
08221195,2,1
SC423660,8,1
08270166,10,2
08278354,1,1
08065592,1,1
08177943,1,1
08340841,5,3
08040850,1,1
08174329,2,1
08051910,1,1
08288878,2,2
08044840,1,1
08259694,2,2
08018539,1,1
08062816,1,1
08179967,1,1
NI612428,4,3
08326274,2,2
07950793,2,2
08276117,1,1
08210876,1,1
08199469,3,3
NI612810,4,3
08008628,16,2
SC424034,1,1
08014220,3,1
08050873,1,1
08228373,1,1
08048390,3,3
08056060,5,1
08017790,2,2
08206069,3,3
08068338,3,3
08061140,1,1
08156977,1,1
08067094,1,1
08016087,2,2
08050254,1,1
07998925,1,1
08263161,3,2
08064815,3,1
07931184,1,1
08056975,2,2
07914457,2,2
07996531,2,2
NI612551,23,3
08237590,2,2
08073827,1,1
08169511,1,0
SC419537,7,4
08313597,2,2
08048579,1,1
08070448,2,2
08178445,8,4
08039246,1,1
08036381,2,2
08038933,2,2
08082749,9,5
08158836,4,1
NI612592,2,2
08318687,2,1
08071540,2,2
08084967,1,1
08176826,3,2
08140318,8,3
08056569,3,3
08028691,1,1
08058476,4,3
07975204,2,1
08068739,1,1
07917780,1,1
08057335,3,2
08057288,7,3
08170058,1,1
08135126,2,1
08217059,1,1
08188809,7,3
08070583,1,1
08071651,4,2
08178178,3,3
08158101,2,2
08084947,2,1
08038990,3,3
08039477,3,1
SC422337,5,2
08039126,6,3
08039635,2,1
07917248,8,1
08039882,6,3
SC422392,3,2
08288573,1,1
08073262,1,1
08057842,2,2
07976747,3,2
08134279,1,1
NI612124,3,1
08124421,9,2
08025670,3,1
08190195,1,1
08041632,2,1
08066391,4,1
08075450,1,1
08065765,1,1
08021309,1,1
08076261,2,2
08293182,4,2
SC424394,1,1
NI610647,14,2
07931269,1,1
08065840,1,1
08060851,3,3
08073029,2,2
07946345,1,1
08123973,2,2
08271516,4,1
07908309,5,1
08079998,1,1
07966137,4,1
08065405,1,1
08188277,15,4
08300357,1,1
SC424469,5,2
08062018,2,1
07914089,5,2
08234037,3,1
07993763,3,3
08165105,5,3
08055045,3,2
08054037,3,2
08001836,4,2
08055327,1,1
08077103,9,2
08220805,1,1
08180890,3,3
07896236,3,3
08051107,1,1
08109015,1,1
07975353,2,2
08002333,1,1
07991286,7,3
07985136,1,1
08180934,4,1
08117007,2,2
08298591,1,1
08115045,2,2
08157426,4,2
08271894,3,2
08130154,4,2
08343310,3,2
08269482,2,1
07994269,3,3
08113882,1,1
07981998,2,1
08143333,2,1
08106052,4,2
08119761,1,1
08289549,4,1
08033097,2,2
07988033,2,1
08230446,2,2
08057294,1,1
08062144,2,1
OC379311,4,4
SO304091,7,2
OC378921,4,2
OC379190,3,2
OC379312,4,2
OC379224,4,2
OC379366,3,2
OC373956,3,1
OC374321,6,4
OC371318,5,2
OC378093,13,9
OC374079,5,2
OC378455,4,3
OC373372,8,2
OC372664,3,3
OC373280,5,5
OC378667,6,2
OC374955,32,10
SO303891,2,2
SO303739,2,2
OC375645,84,35
OC380846,4,2
OC372521,6,2
OC371330,3,2
OC380376,3,2
OC381242,2,2
OC372712,15,2
OC373375,4,2
OC373752,25,13
OC371807,3,3
OC379988,2,2
OC380254,4,4
OC374670,5,2
OC372764,6,3
OC379444,2,2
OC371783,4,2
OC372780,11,10
OC374855,6,4
SO303798,2,2
OC379490,7,6
OC372480,4,2
OC372254,4,2
OC372726,8,3
OC379804,4,2
OC380635,8,3
OC372549,5,2
OC379737,4,2
OC374095,2,2
OC380922,4,3
OC381077,3,3
OC372694,2,2
OC374843,25,16
OC372438,2,2
OC380515,8,2
SO303744,20,8
OC374187,2,2
OC380609,14,4
OC374563,4,2
OC372229,4,2
OC373411,4,2
OC376927,2,2
OC372358,3,2
OC372749,6,2
OC372065,5,3
OC378349,7,6
OC381273,2,2
OC378728,2,2
OC376907,9,8
OC378831,4,3
OC373937,7,6
OC378810,3,2
OC378209,5,3
SO304084,2,2
OC373542,23,12
OC371647,6,2
OC378712,5,3
SO304104,5,2
OC378888,4,3
OC371779,4,2
OC380071,5,3
OC380187,24,5
OC380700,6,2
OC372506,2,2
NC000976,5,2
OC380924,2,2
OC379561,2,2
OC380674,2,2
OC379580,4,4
OC371323,2,2
OC381015,3,2
OC380553,2,2
OC381101,9,2
OC378739,5,3
OC378764,4,4
OC380551,5,3
OC371283,5,2
OC379163,5,2
OC373892,4,4
OC380164,53,23
OC380687,48,15
OC371892,6,2
OC373067,3,3
OC380572,3,2
OC372027,2,2
OC373038,5,3
OC371300,8,6
OC371205,3,2
OC380466,2,2
OC372706,3,3
OC371582,3,2
OC374003,3,2
OC373802,3,2
OC374595,7,4
OC373962,4,4
OC372096,5,3
OC373020,5,2
OC375119,5,2
OC379617,3,1
OC379958,4,2
OC376654,8,2
SO303777,13,11
OC373044,2,2
OC376134,10,7
OC373220,8,2
OC376492,10,3
OC373803,10,2
OC374817,37,21
OC379684,8,5
OC379630,19,6
OC378605,3,2
OC373659,8,3
OC380448,4,4
OC372880,3,3
OC373183,4,3
OC374590,2,1
OC372557,2,2
OC380204,6,6
OC372657,15,4
OC373200,4,3
OC374719,4,2
OC374334,5,2
OC374452,3,2
OC380812,8,5
OC371734,5,2
OC375735,2,2
OC374963,2,2
OC378970,5,3
OC374527,4,2
OC372914,2,2
OC374987,390,35
OC381251,3,2
SO304000,3,3
OC377041,4,2
OC379918,6,2
OC372981,3,2
OC372363,15,8
OC374991,2,2
OC374126,8,3
OC373330,4,2
OC380503,5,5
OC374252,6,2
OC374732,8,5
OC373798,5,3
OC380979,4,3
OC374498,6,2
OC374035,8,2
OC380955,11,7
NC000856,29,11
OC371755,9,6
OC373214,2,2
OC373102,3,2
OC371717,5,4
OC371772,6,4
OC374036,8,5
OC373373,7,7
OC374548,25,7
OC372845,3,3
OC373360,2,2
OC373383,7,3
SO303736,8,0
OC381100,2,2
OC374240,6,3
OC379449,2,2
OC373475,4,2
OC373688,2,2
OC380681,2,2
OC380708,4,3
OC371298,3,2
OC381021,6,4
OC374644,3,3
OC381127,5,4
OC371694,42,22
OC380786,2,2
SO304175,3,3
OC378312,10,3
OC377432,4,2
OC376489,18,9
OC378961,4,2
OC378816,5,3
OC376732,4,2
07896627,1,1
07895277,1,1
07895285,3,2
07895561,2,2
07896116,2,1
07894978,1,1
07895154,2,1
07896381,5,2
07895056,6,1
07895057,2,1
07895615,3,1
07895079,1,1
07896532,2,2
07896899,2,1
07894614,1,1
07894966,2,2
07895652,3,2
07896916,1,1
07897162,1,1
07896549,2,1
07896863,1,1
07896866,1,0
07897055,2,1
07894904,1,1
07898132,1,1
07898174,1,1
07895382,1,1
07897117,3,2
07897310,2,2
07897346,1,1
07895954,2,1
07896277,1,1
07896621,1,1
07897608,1,1
07898019,1,1
07896822,1,1
07896859,4,2
07894902,1,1
07895116,2,2
07898135,2,1
07897035,3,0
07895030,2,2
07898136,1,1
07897141,3,3
07897210,2,2
07897322,11,3
07897636,2,2
07895934,1,1
07896239,1,1
07898160,1,1
07895805,5,2
07896265,1,1
07897640,1,1
07897648,1,1
07898415,5,3
07898774,2,1
07895795,2,2
07899038,1,1
07896487,4,4
07895925,2,1
07899012,1,1
07899017,2,2
07895762,2,1
07896258,1,1
07896360,2,2
07899076,1,1
07896475,3,3
07897609,1,1
07898824,3,2
07898985,1,1
07896233,1,1
07897796,1,1
07897889,2,2
07896346,1,1
07895458,3,3
07895793,4,2
07895276,2,1
07895807,2,2
07896553,3,3
07898023,1,1
07897718,1,1
07897785,3,1
07898869,4,2
07898962,2,1
07895797,3,2
07899034,1,1
07895708,1,1
07895862,2,2
07897891,1,1
07897939,2,1
07898077,1,1
07894714,2,2
07896469,1,1
07897333,3,2
07895456,2,1
07897549,2,1
07898959,1,1
07895814,1,1
07898169,4,3
07898194,1,1
07898325,4,4
07897355,1,1
07896224,1,1
07897338,1,1
07894735,1,1
07895928,7,4
07895801,2,2
07896589,2,1
07898670,3,2
07898918,2,2
07898946,3,1
07895250,1,1
07896447,3,3
07896622,1,1
07899187,2,2
07899302,1,1
07896919,1,1
07899433,2,1
07896870,3,2
07895328,2,2
07897092,2,1
07897264,1,1
07899463,1,0
07898280,1,1
07898408,1,1
07896550,4,1
07896601,2,2
07898334,1,1
07899094,1,1
07899105,5,3
07899116,1,1
07899188,3,2
07899197,1,1
07899303,4,4
07896754,3,1
07896765,1,1
07897513,3,2
07896977,3,3
07899227,2,1
07899258,1,1
07897585,2,2
07897311,1,1
07899473,2,1
07899498,2,1
07898249,2,2
07898285,1,1
07898752,3,2
07895020,2,2
07896453,3,3
07899129,1,1
07899348,1,1
07897495,1,1
07899396,3,3
07899261,6,2
07897569,1,1
07897575,1,1
07897941,1,1
07897083,7,2
07897253,1,1
07895729,2,2
07896748,1,1
07898772,4,1
07896406,2,2
07899111,2,2
07899295,1,1
07896927,1,1
07896973,6,0
07899240,2,2
07895593,1,1
07897589,3,1
07897854,3,1
07897265,4,2
07899653,1,1
07898045,2,1
07898098,2,2
07894967,2,2
07899209,1,1
07899446,2,2
07895320,1,1
07895332,1,1
07895434,2,1
07899510,1,1
07899652,1,1
07898241,4,4
07895702,4,1
07895769,1,1
07897802,1,1
07895247,2,2
07896569,1,1
07899321,2,2
07897506,2,2
07899404,2,1
07899425,2,1
07895307,1,1
07898046,2,2
07897410,3,2
07899550,3,1
07898262,1,1
07898345,1,1
07895258,2,2
OC374281,2,2
OC372552,2,2
OC373696,3,2
OC374069,3,2
OC374683,6,2
OC374804,3,2
OC374842,2,2
OC374443,3,2
OC373043,3,3
OC374173,4,2
OC375230,2,2
OC374694,2,2
OC374746,3,2
OC374820,2,2
OC373850,2,2
OC373929,2,2
OC373577,13,2
OC373642,4,2
OC373792,2,2
OC374989,4,4
OC375469,5,2
OC375471,4,2
OC374238,4,2
OC373952,6,2
OC375757,2,2
OC375758,2,2
OC375824,2,2
OC375236,2,2
OC374721,2,2
OC374899,2,2
OC373806,2,2
OC373652,5,3
OC375687,2,2
OC373971,4,3
OC374111,2,2
OC375741,2,2
OC375750,3,2
OC374468,22,1
OC374588,7,7
OC374142,3,3
OC375973,3,3
OC375181,5,3
OC375117,5,5
OC373847,2,2
OC373886,4,3
OC375245,2,2
OC375111,3,2
OC375199,3,1
OC375450,2,1
OC375561,4,4
OC374086,8,3
OC373865,3,2
OC375731,2,1
OC375752,3,2
OC374566,2,2
OC375809,2,2
OC375818,2,2
OC375100,16,2
OC372346,2,2
OC373905,5,3
OC374081,3,3
OC373176,3,3
OC373395,6,5
OC372853,3,3
OC373746,2,2
OC373828,2,2
OC374016,2,2
OC374439,3,3
OC374089,2,2
OC374285,2,2
OC375882,4,2
OC375909,13,2
OC375966,2,1
OC374829,10,2
OC375011,2,2
OC375214,2,2
OC374735,6,3
OC373928,3,3
OC373931,2,2
OC373776,2,0
OC373785,2,2
OC375332,2,2
OC375463,6,5
OC374024,2,2
OC374131,3,3
OC375762,2,2
OC375786,2,2
OC375794,2,2
OC374441,3,3
OC373570,3,2
OC373643,22,3
OC373791,2,2
OC375203,2,2
OC375225,4,2
OC375720,4,2
OC373869,4,2
OC375362,2,2
OC375790,2,2
OC374525,2,2
OC375950,2,2
OC375951,5,5
OC375051,4,2
OC375059,6,3
OC374898,2,2
OC374905,2,2
OC375032,6,4
OC375093,17,2
OC373417,2,2
OC373641,7,3
OC373657,5,3
OC375337,3,2
OC373970,3,2
OC374236,4,2
OC375737,2,2
OC374454,10,2
OC374146,4,2
OC375813,2,2
OC373466,2,2
OC373625,5,5
OC374942,3,3
OC374994,4,2
OC375171,3,3
OC374914,2,2
OC373362,2,2
OC373565,3,2
OC373671,2,2
OC375512,7,2
OC375536,3,3
OC375822,4,2
OC375847,2,2
OC375864,2,2
OC375965,2,2
OC373694,3,2
OC373840,2,2
OC373605,4,2
OC373666,3,2
OC375247,2,2
OC375455,9,2
OC374448,2,2
OC375805,2,2
OC375814,2,2
OC375936,2,2
OC372314,2,2
OC372417,7,2
OC373716,3,3
OC373823,3,2
OC372447,3,1
OC372861,4,4
OC373121,2,2
OC373505,2,2
OC374396,2,2
OC372683,2,0
OC372941,4,4
OC373587,2,2
OC374070,4,2
OC374788,2,2
OC372737,3,2
OC373034,2,2
OC373325,6,5
OC373558,2,2
OC375096,10,2
OC374980,2,2
OC373846,3,2
OC373599,36,2
OC375602,4,4
OC375211,2,2
OC373870,6,2
OC374437,2,2
OC374500,2,2
OC375954,3,3
OC375967,2,2
OC374911,2,2
OC373578,9,1
OC375582,3,3
OC375588,5,2
OC375371,4,2
OC375759,2,2
OC375788,2,2
OC375811,2,2
OC375840,6,2
OC375852,9,3
OC374928,4,4
OC375078,4,1
OC373495,4,2
OC375023,2,2
OC373425,2,2
OC373442,4,2
OC375200,3,2
OC374073,18,3
OC375354,2,2
OC375528,3,3
OC374406,2,1
OC374559,4,2
OC374571,2,2
OC374149,2,2
OC374192,2,2
OC374360,2,2
OC374495,4,4
OC375908,2,2
OC375974,2,2
07989245,9,4
07999381,6,3
07999341,6,3
08028501,3,3
08032707,3,3
08043322,5,1
08046513,14,3
08065733,6,2
08075795,4,4
08079191,4,3
08137587,5,3
08141465,5,3
08157967,3,3
08164772,4,1
08201725,3,3
08201831,3,3
08007511,5,2
08013887,16,1
08069279,6,4
08083402,5,3
08083904,11,2
08092426,7,3
08093929,3,3
08105785,3,2
08214603,4,3
08218294,3,3
08260966,5,4
08275701,5,3
08283438,4,2
08337075,8,3
07909661,3,3
07925903,7,3
07933794,6,3
07934524,8,4
07987393,7,5
08308938,3,2
08307651,3,3
08311253,12,3
08320586,5,3
08155305,6,4
08300620,5,2
08237499,6,4
08248437,18,4
08150144,6,3
SC435598,5,2
08135472,4,3
08142169,6,5
08147985,8,3
08148058,6,3
08185826,3,3
08213817,5,4
08320735,5,3
08334841,4,3
08160397,8,4
08159919,7,3
08167866,3,3
08175956,5,3
08179202,5,5
08223732,9,3
08223746,8,3
08227289,22,3
08232728,3,3
08234198,3,2
08235650,4,4
08238812,6,2
08241109,4,3
08239134,5,4
08306443,14,0
08028744,4,4
08030574,4,3
08038154,6,3
08039641,8,4
08047425,12,3
08062319,8,2
08062960,13,4
08071953,3,3
08104412,5,2
08101746,8,3
08338295,3,3
08019203,13,2
08044638,4,3
08060815,3,3
08076004,3,3
08098466,4,4
08102429,4,3
08109716,4,3
08268472,3,3
08272932,7,3
08272167,6,4
08283442,5,3
08283279,3,3
08314685,5,3
07905873,3,3
07911410,5,2
07921731,5,3
07920538,3,2
07934858,7,3
07936991,3,3
07934515,7,4
07989516,7,1
07998783,3,2
08004713,4,3
07912962,3,3
07914385,10,2
07928319,3,3
07929330,8,3
07965227,5,2
07976463,3,2
07984573,12,3
08029473,3,3
08036883,3,3
08066323,3,3
08084218,3,3
08085706,5,3
08129925,3,3
08248045,6,3
08270923,3,3
07924617,3,3
07923420,5,2
07962254,3,3
07962266,3,3
07962239,3,3
07962283,3,3
07937759,5,5
07944211,5,3
07944170,5,3
07944084,5,3
07944051,5,3
07944109,5,3
07944155,5,3
07952880,3,2
07962262,3,3
07962296,3,3
08006080,3,3
08011512,4,4
08008851,4,4
08016079,3,3
08338324,3,3
08301059,3,2
08285105,3,3
08303324,3,2
08311407,3,3
08322895,4,4
08139861,3,3
08152146,3,0
08172539,3,3
08174286,3,3
08201523,3,3
08208633,4,4
08208702,4,4
08224816,3,3
08275865,6,6
08284187,3,3
08330294,6,3
08430670,2,1
08580288,8,4
08807555,6,3
08567902,2,2
08617194,1,1
08352860,1,1
08562946,2,2
08569358,3,2
08581076,6,1
08577189,2,2
08429897,2,2
08455205,3,2
08566640,1,1
08636651,2,1
08676472,2,2
08427074,2,1
08427665,3,1
08607611,2,2
08572202,3,1
08468586,2,1
08469982,3,1
08368595,6,6
08526075,1,1
08640188,2,1
SC456990,1,1
SC457796,2,2
08664008,2,1
08608113,1,1
08605367,3,2
08528067,2,2
08538477,14,4
NI619927,2,1
08648551,2,1
08476051,1,1
08791151,2,2
08656690,2,2
08810912,3,1
08683063,3,3
08807586,5,2
08644300,1,1
08777696,2,2
08635279,3,2
08667554,4,1
08435686,1,1
08528478,28,5
08523970,3,3
08721211,2,1
08514831,2,2
08595326,2,2
08462155,1,1
08654106,9,3
08502427,2,2
08502498,2,2
08502692,3,1
08451873,11,6
08501859,3,2
08501819,1,1
08502244,14,1
08501814,1,1
08502982,2,2
08407498,2,1
08501731,1,1
08589733,2,1
08433039,2,2
08459723,3,0
08816888,2,1
08554695,3,1
08569688,1,1
08425079,1,1
08574237,1,1
08589122,1,1
08804839,3,2
08760535,11,2
08722861,1,1
08657167,1,1
08380136,3,1
08443170,1,1
08595608,8,1
08760348,3,1
08608950,1,1
08528324,4,4
08527233,1,1
08826720,3,1
08483705,8,4
08529714,2,1
08462674,3,3
08776647,2,1
SC450276,1,1
08555299,2,2
08656182,2,2
08780587,1,1
08683406,4,2
08527028,2,2
08404229,3,2
08624631,1,1
08594160,2,2
08500796,3,3
08531158,1,1
08620122,2,1
08509548,4,4
SC449843,2,2
08502149,2,2
08502368,1,1
08503138,4,2
08501509,5,1
08502962,1,1
08501489,1,1
08370698,4,2
08517672,6,1
08638421,2,1
08698163,2,2
SC456587,1,1
08515204,2,2
08535756,2,2
08532804,2,1
08491138,1,1
SC461989,4,2
08415192,2,2
08503013,1,1
08601596,4,1
08535917,2,2
08644748,1,1
08675997,1,1
08530216,4,4
08517699,4,1
08428347,9,3
08684020,2,2
08495353,2,1
08490354,2,2
08362092,2,2
SC445640,1,1
08371790,1,1
08537507,1,1
08650394,4,3
08633070,1,1
08529030,2,2
08713086,2,2
08528026,2,2
08414109,3,2
08433265,9,2
08690198,4,1
08458471,1,1
08537485,18,3
08505981,2,2
08527188,1,1
08516450,1,1
08503241,1,1
08584697,1,1
08427135,4,1
08813587,3,1
08492797,6,3
08406330,2,2
08532454,3,2
08474796,1,1
08656219,2,2
08661306,2,2
08509556,2,2
08458348,1,1
08540186,2,2
08554508,1,1
08531444,1,1
08654306,2,2
08804170,4,3
08817289,2,1
08592067,4,3
08516906,1,1
08532318,2,2
SC448987,3,1
NI618428,1,1
08633885,1,1
08402404,3,3
08524391,2,1
08612945,15,10
08461181,1,1
08531015,1,1
08346269,5,3
08534597,4,4
08499136,2,2
08781741,9,1
08499236,2,1
08497780,5,3
08497924,1,1
08499380,2,2
08497824,3,3
08445602,3,1
SC451249,1,1
08497413,3,2
08498001,1,1
08497587,3,1
08498417,1,1
08456220,5,3
08346944,2,2
08524744,4,2
08525297,2,2
08572998,6,1
08532865,2,2
08535490,3,3
SC446397,2,2
08559545,5,2
NI618446,2,2
OC389432,6,4
OC384932,2,2
OC383850,4,3
OC383453,10,4
OC389190,10,4
OC385460,9,2
OC384947,11,2
OC385695,6,2
OC385218,2,2
OC382844,5,4
OC385013,2,2
OC386830,3,3
OC384159,4,4
OC384521,7,3
OC388361,13,4
OC385209,39,31
OC387484,2,2
OC387295,9,2
OC385239,86,35
OC385284,3,3
OC385282,4,3
OC385249,3,2
OC385146,3,3
OC384619,2,2
OC384618,5,5
OC385110,2,2
OC387520,2,2
OC385203,2,2
OC385722,3,3
OC385394,12,7
SO304492,4,2
OC384850,2,2
OC385141,2,2
OC385274,2,2
OC385491,6,2
OC385629,2,2
SO304437,3,2
OC385594,4,2
OC385192,3,2
OC382946,4,2
OC385599,4,1
OC387584,3,3
OC383211,2,2
OC385466,3,2
NC001034,7,2
SO304435,6,3
OC385244,2,2
OC384762,6,2
OC385635,46,17
OC387017,2,2
OC386264,4,2
OC385005,4,3
OC385411,13,10
OC385263,3,3
OC383750,3,2
OC384838,7,3
OC383595,3,2
OC387320,2,2
OC385246,5,2
OC387471,7,2
OC385079,5,4
OC387766,2,2
OC385426,3,1
OC385448,7,2
OC384184,4,2
OC385050,5,2
OC385701,3,2
OC389184,6,2
OC389182,6,2
OC386129,6,2
OC384131,6,6
OC387885,3,2
OC382780,5,2
OC385327,5,3
OC385305,4,3
OC385308,3,2
OC385841,6,4
OC387167,2,2
OC386135,5,2
OC386136,4,2
OC387897,2,2
OC387894,2,2
OC385847,31,4
OC385748,8,4
OC389881,6,2
OC385981,13,4
OC385863,4,3
OC386905,2,2
OC386335,7,3
OC385610,7,2
OC389373,22,3
OC386055,2,2
OC386302,2,2
OC388819,5,4
OC385979,2,2
OC388165,3,2
SO304486,3,2
OC389224,2,2
OC389597,9,0
OC389596,9,0
OC385056,14,3
OC386667,2,2
OC387431,4,2
OC386002,2,2
OC388785,6,4
OC385882,3,2
SO304462,6,3
OC386074,7,2
OC386179,4,2
OC386260,2,2
OC386718,2,1
OC385522,3,2
NC001075,5,2
OC387720,3,2
OC386437,4,1
SO304512,11,6
OC386386,2,2
SO304535,2,2
SO304506,2,2
OC381579,9,3
OC389161,8,3
OC383957,2,2
OC387580,3,2
OC382318,42,14
OC386461,5,3
OC387425,2,2
OC388569,5,5
OC383435,14,3
OC386257,4,2
OC386187,3,3
OC390020,3,2
OC386214,2,2
OC386381,6,2
OC388075,2,2
OC384820,2,2
OC386075,3,2
OC385965,2,2
OC386099,2,2
OC381921,4,2
OC387970,11,5
OC384721,16,13
OC386331,20,12
OC386497,10,8
OC381334,4,2
OC381526,3,2
OC386582,3,2
OC386861,6,4
OC384172,5,3
OC386404,2,2
OC389140,2,2
OC387210,4,2
OC389648,4,4
OC386467,2,1
OC386078,4,2
OC387426,4,2
OC390120,2,1
OC383538,2,2
OC389850,8,2
OC388005,7,2
OC386446,3,3
OC386447,5,5
OC386977,4,3
OC389647,13,10
OC388271,23,14
OC386976,6,2
OC386202,6,2
SO304275,2,2
OC385026,4,2
OC384709,7,6
OC390003,3,2
OC389565,4,4
OC387046,4,4
OC386822,2,2
OC386575,8,3
OC387360,4,2
OC389277,7,2
OC382179,6,2
OC384267,5,2
OC384523,2,2
OC387815,4,3
OC386449,3,3
OC383298,5,3
SO304544,2,2
OC386324,6,5
OC386151,14,12
OC388467,23,18
OC389037,2,2
OC387465,3,2
OC386965,4,2
OC386340,3,2
OC387495,3,2
OC387566,5,4
OC381951,16,4
SO304578,4,4
OC388848,2,2
OC383537,4,4
OC387739,8,3
OC381562,2,2
OC387884,2,2
OC389166,4,3
08559467,23,5
08346271,35,10
08661469,21,7
08659252,4,2
08765635,9,2
08804263,27,7
08556128,59,12
08749672,10,4
08785322,4,4
08449586,30,4
08727722,9,3
08630329,11,6
08793266,17,7
08623329,6,4
08719400,7,4
08397918,5,3
08717989,13,7
SC441988,17,5
08528493,30,9
08654028,20,7
08792996,14,3
08777765,16,8
08694566,3,3
08624398,4,3
08826541,11,3
08409650,13,2
08422787,14,4
08716713,12,3
08380438,6,3
08615844,13,3
08684474,23,5
08589183,9,7
08594721,25,5
08761494,21,5
08792716,21,5
08409509,5,3
08616013,38,9
08466829,8,1
08757850,24,4
08397584,34,7
08595042,29,10
08782139,17,5
08528504,29,5
08434613,41,12
08344738,14,4
08377465,18,6
08700698,65,14
08401609,14,5
08632552,29,13
08432822,7,4
NI618945,1,1
NI618954,1,1
NI618983,1,1
NI619009,1,1
NI619018,2,2
NI619001,2,2
NI619127,3,0
NI619137,2,2
NI619104,1,1
NI619303,1,1
NI618630,1,1
NI619193,1,1
NI619053,1,1
NI619055,2,2
NI619322,1,1
NI618668,3,3
NI618925,3,2
NI618934,2,1
NI619169,1,1
NI619249,1,1
NI618944,1,1
NI619142,1,1
NI619161,2,2
NI619202,2,2
NI619218,1,1
NI619115,1,1
NI619117,1,1
NI619333,2,1
NI619471,1,1
NI619373,4,3
NI619356,4,4
NI619420,1,1
NI619437,2,2
NI619447,1,0
NI619485,1,1
NI619405,1,1
NI619484,1,1
NI619401,1,1
NI619439,1,1
NI619959,3,1
NI620020,1,1
NI620073,1,1
NI619756,1,1
NI619836,1,1
NI619843,1,1
NI620224,2,2
NI619599,1,1
NI619681,6,2
NI619699,1,1
NI619747,2,2
NI619789,6,1
NI619864,3,3
NI620014,1,1
NI620108,5,1
NI620118,1,1
NI620218,2,2
NI619923,3,2
NI619532,2,2
NI619571,1,1
NI619605,1,1
NI619632,1,1
NI619728,1,1
NI619782,1,1
NI619826,5,1
NI620199,1,1
NI620533,1,1
NI619983,2,2
NI620448,2,2
NI620509,2,1
NI620033,1,1
NI620314,2,2
