company_number,name,role,nationality
04911331,"ROBB, Katherine",secretary,British
04911331,"ROBB, Allan Fraser",director,British
04911331,CHETTLEBURGHS SECRETARIAL LTD,corporate-nominee-secretary,
12466057,"TAHIR, Junaid",director,Pakistani
SC590041,"RULINSKI, Marcin",director,Polish
08726789,"KHAN, Muhammad Umar",director,British
08726789,"KHAN, Muhammad Ali",director,British
08726789,"KHAN, Sumara",director,British
11426803,"STRECHI, Anatoli",director,Romanian
11979995,"ALLOT, Diane",director,Swiss
14598568,"MIAN, Ajmal",director,British
10595251,"RAWAT, Amita",director,British
06433994,"GOVANI, Susan",secretary,British
06433994,"GOVANI, Susan",director,British
06433994,"REES, Steven",director,British
06433994,"REES, Kenneth",director,British
06433994,"REES, Myra Elizabeth",director,British
04738635,RESOLIS LIMITED,corporate-secretary,
04738635,"CONNELLY, Gerry",director,British
04738635,"GORDON, John Stephen",director,British
04738635,"KOKKINOS, Andreas",director,British
04738635,"MCLURE, Cameron Hannah",director,British
04738635,"HUI, Carol",secretary,British
04738635,"LEWIS, Maria",secretary,British
04738635,"MILLER, Roger Keith",secretary,British
04738635,"NAYLOR, Philip",secretary,
04738635,"SHELL, Peter Geoffrey",secretary,British
04738635,IMAGILE SECRETARIAT SERVICES LIMITED,corporate-secretary,
04738635,SWIFT INCORPORATIONS LIMITED,corporate-nominee-secretary,
04738635,"ANAND, Neeti Mukundrai",director,British
04738635,"BALFOUR, Ion Bruce",director,British
04738635,"BAREKATI, Farid",director,British
04738635,"BRADBURY, David Richard",director,British
04738635,"BRADBURY, Richard George",director,British
04738635,"BURGE, Richard William Francis",director,British
04738635,"BURGE, Richard William Francis",director,British
04738635,"CANN, John",director,British
04738635,"CHANNON, Martin",director,British
04738635,"CHANNON, Martin",director,British
04738635,"CONNELLY, John Gerard",director,British
04738635,"COTTRELL, Keith",director,British
04738635,"COTTRELL, Keith",director,British
04738635,"CUNNINGHAM, Kevin Alistair",director,British
04738635,"DICKIE, Timothy John",director,British
04738635,"EWELL, Melvyn",director,British
04738635,"FALERO, Louis Javier",director,British
04738635,"FRANKLAND, Michael Anthony",director,British
04738635,"GILLESPIE, Kenneth William",director,British
04738635,"GROOME, Richard Leonard",director,British
04738635,"GROOME, Richard Leonard",director,British
04738635,"GROTE GANSEY, Marcelino Hermanus Bernardus",director,Dutch
04738635,"HERRIOTT, Charles William Grant",director,British
04738635,"HILL, Karen Marie",director,British
04738635,"HUDD, Sarah Jayne",director,British
04738635,"JOHNSON, Terence Joseph",director,British
04738635,"JONES, Peter Donne",director,British
04738635,"KAZNACHEIEVA, Nadiia",director,Ukrainian
04738635,"MASON, Andrew Craig",director,British
04738635,"MICCICHE, Gaetano David",director,British
04738635,"MOGG, Charles Michael",director,British
04738635,"NELSON, Andrew Latham",director,British
04738635,"OXBY, Catherine Mary",director,British
04738635,"PICKARD, Keith William",director,British
04738635,"PILKINGTON, John",director,British
04738635,"RYAN, Terence",director,British
04738635,"SCHNEIDER, Saul David",director,British
04738635,"SMITH, Martin Timothy",director,British
04738635,"SMITH, Neil",director,British
04738635,"SOLLEY, Christopher Thomas",director,British
04738635,"SUTHERLAND, Douglas Iain",director,British
04738635,"TURNBULL-FOX, Moira",director,British
04738635,"WADDINGTON, Adam George",director,British
04738635,"WONG, Ivan Hong Yee",director,British
04738635,"YEATMAN, Stuart David",director,British
04738635,INSTANT COMPANIES LIMITED,corporate-nominee-director,
04738622,RESOLIS LIMITED,corporate-secretary,
04738622,"CONNELLY, Gerry",director,British
04738622,"GORDON, John Stephen",director,British
04738622,"KOKKINOS, Andreas",director,British
04738622,"MCLURE, Cameron Hannah",director,British
04738622,"HUI, Carol",secretary,British
04738622,"LEWIS, Maria",secretary,British
04738622,"MILLER, Roger Keith",secretary,British
04738622,"NAYLOR, Philip",secretary,
04738622,"SHELL, Peter Geoffrey",secretary,British
04738622,IMAGILE SECRETARIAT SERVICES LIMITED,corporate-secretary,
04738622,SWIFT INCORPORATIONS LIMITED,corporate-nominee-secretary,
04738622,"ANAND, Neeti Mukundrai",director,British
04738622,"BALFOUR, Ion Bruce",director,British
04738622,"BAREKATI, Farid",director,British
04738622,"BRADBURY, David Richard",director,British
04738622,"BRADBURY, Richard George",director,British
04738622,"BURGE, Richard William Francis",director,British
04738622,"BURGE, Richard William Francis",director,British
04738622,"CANN, John",director,British
04738622,"CHANNON, Martin",director,British
04738622,"CHANNON, Martin",director,British
04738622,"CONNELLY, John Gerard",director,British
04738622,"COTTRELL, Keith",director,British
04738622,"COTTRELL, Keith",director,British
04738622,"CUNNINGHAM, Kevin Alistair",director,British
04738622,"DICKIE, Timothy John",director,British
04738622,"EWELL, Melvyn",director,British
04738622,"FALERO, Louis Javier",director,British
04738622,"FRANKLAND, Michael Anthony",director,British
04738622,"GILLESPIE, Kenneth William",director,British
04738622,"GROOME, Richard Leonard",director,British
04738622,"GROOME, Richard Leonard",director,British
04738622,"GROTE GANSEY, Marcelino Hermanus Bernardus",director,Dutch
04738622,"HERRIOTT, Charles William Grant",director,British
04738622,"HILL, Karen Marie",director,British
04738622,"HUDD, Sarah Jayne",director,British
04738622,"JOHSON, Terence Joseph",director,British
04738622,"JONES, Peter Donne",director,British
04738622,"KAZNACHEIEVA, Nadiia",director,Ukrainian
04738622,"MASON, Andrew Craig",director,British
04738622,"MICCICHE, Gaetano David",director,British
04738622,"MOGG, Charles Michael",director,British
04738622,"NELSON, Andrew Latham",director,British
04738622,"OXBY, Catherine Mary",director,British
04738622,"PICKARD, Keith William",director,British
04738622,"PILKINGTON, John",director,British
04738622,"RYAN, Terence",director,British
04738622,"SCHNEIDER, Saul David",director,British
04738622,"SHELL, Peter Geoffrey",director,British
04738622,"SMITH, Martin Timothy",director,British
04738622,"SMITH, Neil",director,British
04738622,"SOLLEY, Christopher Thomas",director,British
04738622,"SUTHERLAND, Douglas Iain",director,British
04738622,"TURNBULL-FOX, Moira",director,British
04738622,"WADDINGTON, Adam George",director,British
04738622,"WONG, Ivan Hong Yee",director,British
04738622,"YEATMAN, Stuart David",director,British
04738622,INSTANT COMPANIES LIMITED,corporate-nominee-director,
03692736,RESOLIS LIMITED,corporate-secretary,
03692736,"GORDON, John Stephen",director,British
03692736,"MCGHEE, Steven John",director,British
03692736,"HEDGES, Teresa Sarah",secretary,
03692736,"HUI, Carol",secretary,British
03692736,"LEWIS, Maria",secretary,British
03692736,"LIMITED, Resolis",secretary,
03692736,"MANTZ, Ann Elizabeth",secretary,British
03692736,"MILLER, Roger Keith",secretary,British
03692736,"SHELL, Peter Geoffrey",secretary,British
03692736,"TETLOW, John Richard",secretary,British
03692736,SWIFT INCORPORATIONS LIMITED,corporate-nominee-secretary,
03692736,VERCITY MANAGEMENT SERVICES LIMITED,corporate-secretary,
03692736,"BAREKATI, Farid",director,British
03692736,"BAYBUTT, Michael",director,British
03692736,"BLOOD, Gerard David",director,Australian
03692736,"BRADBURY, David Richard",director,British
03692736,"CANN, John",director,British
03692736,"CORPETTI, Christian Lucien",director,French
03692736,"CUNNINGHAM, Kevin Alistair",director,British
03692736,"FIELD, Christopher Richard",director,British
03692736,"GRIFFITHS, Joanna",director,British
03692736,"HATZIS, Dimitrios",director,Greek
03692736,"KAYSER, Michael Arthur",director,British
03692736,"LEAKE, Geoffrey Ernest",director,British
03692736,"MERCER-DEADMAN, Michael John",director,British
03692736,"MILLER, David John",director,British
03692736,"MOGG, Charles Michael",director,British
03692736,"MURPHY, Lynn Bridget",director,British
03692736,"NELSON, Andrew Latham",director,British
03692736,"RAVINDRAN, Meera Delia",director,British
03692736,"SCHNEIDER, Saul David",director,British
03692736,"SMITH, Neil",director,British
03692736,"STAPLES, Brian Lynn",director,British
03692736,"SUTHERLAND, Douglas Iain",director,British
03692736,"TURK, Andrew Mark",director,British
03692736,"WELLS, Ian Joseph",director,British
03692736,INSTANT COMPANIES LIMITED,corporate-nominee-director,
03690983,RESOLIS LIMITED,corporate-secretary,
03690983,"GORDON, John Stephen",director,British
03690983,"MCGHEE, Steven John",director,British
03690983,"HEDGES, Teresa Sarah",secretary,
03690983,"HUI, Carol",secretary,British
03690983,"LEWIS, Maria",secretary,British
03690983,"LIMITED, Resolis",secretary,
03690983,"MANTZ, Ann Elizabeth",secretary,British
03690983,"MILLER, Roger Keith",secretary,British
03690983,"SHELL, Peter Geoffrey",secretary,British
03690983,"TETLOW, John Richard",secretary,British
03690983,SWIFT INCORPORATIONS LIMITED,corporate-nominee-secretary,
03690983,VERCITY MANAGEMENT SERVICES LIMITED,corporate-secretary,
03690983,"BAREKATI, Farid",director,British
03690983,"BAYBUTT, Michael",director,British
03690983,"BLOOD, Gerard David",director,Australian
03690983,"BRADBURY, David Richard",director,British
03690983,"CANN, John",director,British
03690983,"CORPETTI, Christian Lucien",director,French
03690983,"CUNNINGHAM, Kevin Alistair",director,British
03690983,"FIELD, Christopher Richard",director,British
03690983,"GRIFFITHS, Joanna",director,British
03690983,"HATZIS, Dimitrios",director,Greek
03690983,"KAYSER, Michael Arthur",director,British
03690983,"LEAKE, Geoffrey Ernest",director,British
03690983,"MERCER-DEADMAN, Michael John",director,British
03690983,"MILLER, David John",director,British
03690983,"MOGG, Charles Michael",director,British
03690983,"MURPHY, Lynn Bridget",director,British
03690983,"NELSON, Andrew Latham",director,British
03690983,"RAVINDRAN, Meera Delia",director,British
03690983,"SCHNEIDER, Saul David",director,British
03690983,"SMITH, Neil",director,British
03690983,"STAPLES, Brian Lynn",director,British
03690983,"SUTHERLAND, Douglas Iain",director,British
03690983,"TURK, Andrew Mark",director,British
03690983,"WELLS, Ian Joseph",director,British
03690983,INSTANT COMPANIES LIMITED,corporate-nominee-director,
03905602,VERCITY MANAGEMENT SERVICES LIMITED,corporate-secretary,
03905602,"CHOJNOWSKA, Marta",director,Polish
03905602,"PERES FERREIRA NEVES, Joao Carlos",director,Portuguese
03905602,"BOWN, Nicholas George",secretary,British
03905602,"HEDGES, Teresa Sarah",secretary,
03905602,"LEWIS, Maria",secretary,British
03905602,"MILLER, Roger Keith",secretary,British
03905602,"SHELL, Peter Geoffrey",secretary,British
03905602,D.W. COMPANY SERVICES LIMITED,corporate-nominee-secretary,
03905602,"BARR, William James",director,British
03905602,"BOWN, Nicholas George",director,British
03905602,"CANN, John",director,British
03905602,"CHALMERS, John Barclay",director,British
03905602,"COOPER, Phillip John",director,British
03905602,"COWLEY, Andrew Christian",director,British
03905602,"CRAWFORD, Douglas James",nominee-director,British
03905602,"EXELL, Stephanie Ann",director,British
03905602,"FROST, Robert Milton",director,British
03905602,"GEDDES, Andrew George",director,British
03905602,"GILODI - JOHNSON, Vanessa Claudia Tiziana",director,British
03905602,"HEATH, James Christopher",director,British
03905602,"INGALL, Simon Henniker",director,British
03905602,"LEAKE, Geoffrey Ernest",director,British
03905602,"LEVERD, Clement David Baptiste",director,French
03905602,"LINNEY, Joseph Mark",director,British
03905602,"MACDONALD, Ronald Sutherland",director,British
03905602,"NEWTON, Robert James",director,British
03905602,"PICKARD, Keith William",director,British
03905602,"PICKARD, Keith William",director,British
03905602,"POLSON, Michael Buchanan",director,British
03905602,"QUAIFE, Geoffrey Alan",director,British
03905602,"ROPER, Anthony Charles",director,British
03905602,"SCHNEIDER, Saul David",director,British
03905602,"SCHOLES, Justin Todd",director,New Zealander
03905602,"SEHMI, Nimarpreet Singh",director,British
03905602,"SMITH, Neil",director,British
03905602,"WEGENER, Elena Giorgiana",director,British
03905601,VERCITY MANAGEMENT SERVICES LIMITED,corporate-secretary,
03905601,"CHOJNOWSKA, Marta",director,Polish
03905601,"PERES FERREIRA NEVES, Joao Carlos",director,Portuguese
03905601,"BOWN, Nicholas George",secretary,British
03905601,"HEDGES, Teresa Sarah",secretary,
03905601,"LEWIS, Maria",secretary,British
03905601,"MILLER, Roger Keith",secretary,British
03905601,"SHELL, Peter Geoffrey",secretary,British
03905601,D.W. COMPANY SERVICES LIMITED,corporate-nominee-secretary,
03905601,"BARR, William James",director,British
03905601,"BOWN, Nicholas George",director,British
03905601,"CANN, John",director,British
03905601,"CHALMERS, John Barclay",director,British
03905601,"COOPER, Phillip John",director,British
03905601,"COWLEY, Andrew Christian",director,British
03905601,"CRAWFORD, Douglas James",nominee-director,British
03905601,"EXELL, Stephanie Ann",director,British
03905601,"FROST, Robert Milton",director,British
03905601,"GEDDES, Andrew George",director,British
03905601,"GILODI - JOHNSON, Vanessa Claudia Tiziana",director,British
03905601,"HEATH, James Christopher",director,British
03905601,"INGALL, Simon Henniker",director,British
03905601,"LEAKE, Geoffrey Ernest",director,British
03905601,"LEVERD, Clement David Baptiste",director,French
03905601,"LINNEY, Joseph Mark",director,British
03905601,"MACDONALD, Ronald Sutherland",director,British
03905601,"NEWTON, Robert James",director,British
03905601,"PICKARD, Keith William",director,British
03905601,"PICKARD, Keith William",director,British
03905601,"POLSON, Michael Buchanan",director,British
03905601,"QUAIFE, Geoffrey Alan",director,British
03905601,"ROPER, Anthony Charles",director,British
03905601,"SCHNEIDER, Saul David",director,British
03905601,"SCHOLES, Justin Todd",director,New Zealander
03905601,"SEHMI, Nimarpreet Singh",director,British
03905601,"SMITH, Neil",director,British
03905601,"WEGENER, Elena Giorgiana",director,British
03912671,VERCITY MANAGEMENT SERVICES LIMITED,corporate-secretary,
03912671,"CHOJNOWSKA, Marta",director,Polish
03912671,"MCGHEE, Steven John",director,British
03912671,"PERES FERREIRA NEVES, Joao Carlos",director,Portuguese
03912671,"CURTIS, Richard Gregory",secretary,British
03912671,"HEDGES, Teresa Sarah",secretary,
03912671,"LEWIS, Maria",secretary,British
03912671,"MILLER, Roger Keith",secretary,British
03912671,"MILLER, Roger Keith",secretary,British
03912671,"NAYLOR, Philip",secretary,
03912671,"SHELL, Peter Geoffrey",secretary,British
03912671,ASSET MANAGEMENT SOLUTIONS LIMITED,corporate-secretary,
03912671,"ARMSTRONG, Peter Richard",director,British
03912671,"BAYBUTT, Michael",director,British
03912671,"BLOOD, Gerard David",director,Australian
03912671,"BRADBURY, David Richard",director,British
03912671,"CANN, John",director,British
03912671,"COOPER, Phillip John",director,British
03912671,"COWLEY, Andrew Christian",director,British
03912671,"CUNNINGHAM, Kevin Alistair",director,British
03912671,"EXELL, Stephanie Ann",director,British
03912671,"FIELD, Christopher Richard",director,British
03912671,"FROST, Robert Milton",director,British
03912671,"GILODI - JOHNSON, Vanessa Claudia Tiziana",director,British
03912671,"GORDON, John Stephen",director,British
03912671,"HEATH, James Christopher",director,British
03912671,"HEATH, James Christopher",director,British
03912671,"KINGHORN, Andre Eugene",director,British
03912671,"LEAKE, Geoffrey Ernest",director,British
03912671,"MARSHALL, David Bruce",director,British
03912671,"MCCLURE, James",director,British
03912671,"MCCOLL, Malcolm Duncan",director,British
03912671,"MERCER-DEADMAN, Michael John",director,British
03912671,"MURPHY, Lynn Bridget",director,British
03912671,"NEVILLE, Gary Arthur",director,British
03912671,"NEWTON, Robert James",director,British
03912671,"PICKARD, Keith William",director,British
03912671,"POUPARD, Natalia",director,Moldovan
03912671,"QUAIFE, Geoffrey Alan",director,British
03912671,"ROPER, Anthony Charles",director,British
03912671,"SCHNEIDER, Saul David",director,British
03912671,"SCHOLES, Justin Todd",director,New Zealander
03912671,"SMITH, Neil",director,British
03912671,"SMITH, Richard Cyril",director,British
03912671,"WEGENER, Elena Giorgiana",director,British
03912671,"WESTON, Richard",director,British
03912671,"WHITTINGTON, John",director,British
03912689,VERCITY MANAGEMENT SERVICES LIMITED,corporate-secretary,
03912689,"CHOJNOWSKA, Marta",director,Polish
03912689,"MCGHEE, Steven John",director,British
03912689,"PERES FERREIRA NEVES, Joao Carlos",director,Portuguese
03912689,"CURTIS, Richard Gregory",secretary,British
03912689,"HEDGES, Teresa Sarah",secretary,
03912689,"LEWIS, Maria",secretary,British
03912689,"MILLER, Roger Keith",secretary,British
03912689,"MILLER, Roger Keith",secretary,British
03912689,"NAYLOR, Philip",secretary,
03912689,"SHELL, Peter Geoffrey",secretary,British
03912689,ASSET MANAGEMENT SOLUTIONS LIMITED,corporate-secretary,
03912689,"ARMSTRONG, Peter Richard",director,British
03912689,"BAYBUTT, Michael",director,British
03912689,"BLOOD, Gerard David",director,Australian
03912689,"BRADBURY, David Richard",director,British
03912689,"CANN, John",director,British
03912689,"COOPER, Phillip John",director,British
03912689,"COWLEY, Andrew Christian",director,British
03912689,"CUNNINGHAM, Kevin Alistair",director,British
03912689,"EXELL, Stephanie Ann",director,British
03912689,"FIELD, Christopher Richard",director,British
03912689,"FROST, Robert Milton",director,British
03912689,"GILODI - JOHNSON, Vanessa Claudia Tiziana",director,British
03912689,"GORDON, John Stephen",director,British
03912689,"HEATH, James Christopher",director,British
03912689,"HEATH, James Christopher",director,British
03912689,"KINGHORN, Andre Eugene",director,British
03912689,"LEAKE, Geoffrey Ernest",director,British
03912689,"MARSHALL, David Bruce",director,British
03912689,"MCCLURE, James",director,British
03912689,"MCCOLL, Malcolm Duncan",director,British
03912689,"MERCER-DEADMAN, Michael John",director,British
03912689,"MURPHY, Lynn Bridget",director,British
03912689,"NEVILLE, Gary Arthur",director,British
03912689,"NEWTON, Robert James",director,British
03912689,"PICKARD, Keith William",director,British
03912689,"POUPARD, Natalia",director,Moldovan
03912689,"QUAIFE, Geoffrey Alan",director,British
03912689,"ROPER, Anthony Charles",director,British
03912689,"SCHNEIDER, Saul David",director,British
03912689,"SCHOLES, Justin Todd",director,New Zealander
03912689,"SMITH, Neil",director,British
03912689,"SMITH, Richard Cyril",director,British
03912689,"WEGENER, Elena Giorgiana",director,British
03912689,"WESTON, Richard",director,British
03912689,"WHITTINGTON, John",director,British
04276561,VERCITY MANAGEMENT SERVICES LIMITED,corporate-secretary,
04276561,"CHOJNOWSKA, Marta",director,Polish
04276561,"GORDON, John Stephen",director,British
04276561,"MCGHEE, Steven John",director,British
04276561,"PERES FERREIRA NEVES, Joao Carlos",director,Portuguese
04276561,"HEDGES, Teresa Sarah",secretary,
04276561,"LEWIS, Maria",secretary,British
04276561,"MILLER, Roger Keith",secretary,British
04276561,"MILLER, Roger Keith",secretary,British
04276561,"SHELL, Peter Geoffrey",secretary,British
04276561,ASSET MANAGEMENT SOLUTIONS LIMITED,corporate-secretary,
04276561,"BLOOD, Gerard David",director,Australian
04276561,"BURGE, Richard William Francis",director,British
04276561,"CANN, John",director,British
04276561,"COOPER, Phillip John",director,British
04276561,"COWLEY, Andrew Christian",director,British
04276561,"CUNNINGHAM, Kevin Alistair",director,British
04276561,"EXELL, Stephanie Ann",director,British
04276561,"FROST, Robert Milton",director,British
04276561,"GILODI - JOHNSON, Vanessa Claudia Tiziana",director,British
04276561,"GROOME, Richard Leonard",director,British
04276561,"HEATH, James Christopher",director,British
04276561,"HEATH, James Christopher",director,British
04276561,"LEAKE, Geoffrey Ernest",director,British
04276561,"LEVERD, Clement David Baptiste",director,French
04276561,"LINNEY, Joseph Mark",director,British
04276561,"LUCAS, Gary Stephen",director,British
04276561,"NEWTON, Robert James",director,British
04276561,"PICKARD, Keith William",director,British
04276561,"PICKARD, Keith William",director,British
04276561,"QUAIFE, Geoffrey Alan",director,British
04276561,"ROPER, Anthony Charles",director,British
04276561,"SCHNEIDER, Saul David",director,British
04276561,"SCHOLES, Justin Todd",director,New Zealander
04276561,"SEHMI, Nimarpreet Singh",director,British
04276561,"SMITH, Neil",director,British
04276561,"WEGENER, Elena Giorgiana",director,British
04276561,"WOODBURN, Neil Andrew",director,British
04276385,VERCITY MANAGEMENT SERVICES LIMITED,corporate-secretary,
04276385,"CHOJNOWSKA, Marta",director,Polish
04276385,"GORDON, John Stephen",director,British
04276385,"MCGHEE, Steven John",director,British
04276385,"PERES FERREIRA NEVES, Joao Carlos",director,Portuguese
04276385,"HEDGES, Teresa Sarah",secretary,
04276385,"LEWIS, Maria",secretary,British
04276385,"MILLER, Roger Keith",secretary,British
04276385,"MILLER, Roger Keith",secretary,British
04276385,"SHELL, Peter Geoffrey",secretary,British
04276385,ASSET MANAGEMENT SOLUTIONS LIMITED,corporate-secretary,
04276385,"BLOOD, Gerard David",director,Australian
04276385,"BURGE, Richard William Francis",director,British
04276385,"CANN, John",director,British
04276385,"COOPER, Phillip John",director,British
04276385,"COWLEY, Andrew Christian",director,British
04276385,"CUNNINGHAM, Kevin Alistair",director,British
04276385,"EXELL, Stephanie Ann",director,British
04276385,"FROST, Robert Milton",director,British
04276385,"GILODI - JOHNSON, Vanessa Claudia Tiziana",director,British
04276385,"GROOME, Richard Leonard",director,British
04276385,"HEATH, James Christopher",director,British
04276385,"HEATH, James Christopher",director,British
04276385,"LEAKE, Geoffrey Ernest",director,British
04276385,"LEVERD, Clement David Baptiste",director,French
04276385,"LINNEY, Joseph Mark",director,British
04276385,"LUCAS, Gary Stephen",director,British
04276385,"NEWTON, Robert James",director,British
04276385,"PICKARD, Keith William",director,British
04276385,"PICKARD, Keith William",director,British
04276385,"QUAIFE, Geoffrey Alan",director,British
04276385,"ROPER, Anthony Charles",director,British
04276385,"SCHNEIDER, Saul David",director,British
04276385,"SCHOLES, Justin Todd",director,New Zealander
04276385,"SEHMI, Nimarpreet Singh",director,British
04276385,"SMITH, Neil",director,British
04276385,"WEGENER, Elena Giorgiana",director,British
04276385,"WOODBURN, Neil Andrew",director,British
03679825,RESOLIS LIMITED,corporate-secretary,
03679825,"BARRON, Michelle Eloise",director,British
03679825,"MCGHEE, Steven John",director,British
03679825,"CURTIS, Richard Gregory",secretary,British
03679825,"HEDGES, Teresa Sarah",secretary,
03679825,"LEWIS, Maria",secretary,British
03679825,"MILLER, Roger Keith",secretary,British
03679825,"MILLER, Roger Keith",secretary,British
03679825,"NAYLOR, Philip",secretary,
03679825,"SHELL, Peter Geoffrey",secretary,British
03679825,ASSET MANAGEMENT SOLUTIONS LIMITED,corporate-secretary,
03679825,VERCITY MANAGEMENT SERVICES LIMITED,corporate-secretary,
03679825,"ARMSTRONG, Peter Richard",director,British
03679825,"BALLSDON, Andrew James",director,British
03679825,"BAREKATI, Farid",director,British
03679825,"BAYBUTT, Michael",director,British
03679825,"BLOOD, Gerard David",director,Australian
03679825,"BRADBURY, David Richard",director,British
03679825,"CANN, John",director,British
03679825,"COOPER, Phillip John",director,British
03679825,"CORPETTI, Christian Lucien",director,French
03679825,"COWLEY, Andrew Christian",director,British
03679825,"CUNNINGHAM, Kevin Alistair",director,British
03679825,"FIELD, Christopher Richard",director,British
03679825,"FROST, Robert Milton",director,British
03679825,"GILODI - JOHNSON, Vanessa Claudia Tiziana",director,British
03679825,"GORDON, John Stephen",director,British
03679825,"HEATH, James Christopher",director,British
03679825,"HEATH, James Christopher",director,British
03679825,"KINGHORN, Andre Eugene",director,British
03679825,"LAMERTON, Ian David, Mr.",director,British
03679825,"LEAKE, Geoffrey Ernest",director,British
03679825,"MARSHALL, David Bruce",director,British
03679825,"MCCLURE, James",director,British
03679825,"MCCOLL, Malcolm Duncan",director,British
03679825,"MERCER-DEADMAN, Michael John",director,British
03679825,"MURPHY, Lynn Bridget",director,British
03679825,"NEVILLE, Gary Arthur",director,British
03679825,"NEWTON, Robert James",director,British
03679825,"PICKARD, Keith William",director,British
03679825,"POUPARD, Natalia",director,Moldovan
03679825,"QUAIFE, Geoffrey Alan",director,British
03679825,"RENSHAW, Amy Suzanne",director,New Zealand
03679825,"ROPER, Anthony Charles",director,British
03679825,"SMITH, Neil",director,British
03679825,"SMITH, Richard Cyril",director,British
03679825,"WEGENER, Elena Giorgiana",director,British
03679825,"WESTON, Richard",director,British
03679825,"WHITTINGTON, John",director,British
03679825,"WILLIAMS, Geoffrey Wyn",director,British
03912708,RESOLIS LIMITED,corporate-secretary,
03912708,"BARRON, Michelle Eloise",director,British
03912708,"MCGHEE, Steven John",director,British
03912708,"CURTIS, Richard Gregory",secretary,British
03912708,"HEDGES, Teresa Sarah",secretary,
03912708,"LEWIS, Maria",secretary,British
03912708,"MILLER, Roger Keith",secretary,British
03912708,"MILLER, Roger Keith",secretary,British
03912708,"NAYLOR, Philip",secretary,
03912708,"SHELL, Peter Geoffrey",secretary,British
03912708,ASSET MANAGEMENT SOLUTIONS LIMITED,corporate-secretary,
03912708,VERCITY MANAGEMENT SERVICES LIMITED,corporate-secretary,
03912708,"ARMSTRONG, Peter Richard",director,British
03912708,"BALLSDON, Andrew James",director,British
03912708,"BAREKATI, Farid",director,British
03912708,"BAYBUTT, Michael",director,British
03912708,"BLOOD, Gerard David",director,Australian
03912708,"BRADBURY, David Richard",director,British
03912708,"CANN, John",director,British
03912708,"COOPER, Phillip John",director,British
03912708,"CORPETTI, Christian Lucien",director,French
03912708,"COWLEY, Andrew Christian",director,British
03912708,"CUNNINGHAM, Kevin Alistair",director,British
03912708,"FIELD, Christopher Richard",director,British
03912708,"FROST, Robert Milton",director,British
03912708,"GILODI - JOHNSON, Vanessa Claudia Tiziana",director,British
03912708,"GORDON, John Stephen",director,British
03912708,"HEATH, James Christopher",director,British
03912708,"HEATH, James Christopher",director,British
03912708,"KINGHORN, Andre Eugene",director,British
03912708,"LAMERTON, Ian David, Mr.",director,British
03912708,"LEAKE, Geoffrey Ernest",director,British
03912708,"MARSHALL, David Bruce",director,British
03912708,"MCCLURE, James",director,British
03912708,"MCCOLL, Malcolm Duncan",director,British
03912708,"MERCER-DEADMAN, Michael John",director,British
03912708,"MURPHY, Lynn Bridget",director,British
03912708,"NEVILLE, Gary Arthur",director,British
03912708,"NEWTON, Robert James",director,British
03912708,"PICKARD, Keith William",director,British
03912708,"POUPARD, Natalia",director,Moldovan
03912708,"QUAIFE, Geoffrey Alan",director,British
03912708,"RENSHAW, Amy Suzanne",director,New Zealand
03912708,"ROPER, Anthony Charles",director,British
03912708,"SMITH, Neil",director,British
03912708,"SMITH, Richard Cyril",director,British
03912708,"WEGENER, Elena Giorgiana",director,British
03912708,"WESTON, Richard",director,British
03912708,"WHITTINGTON, John",director,British
09234067,"BRISTOW, Kirsty Nicol",secretary,
09234067,"BRISTOW, Kirsty Nicol",director,British
09234067,"KENNELLY, Luke Martin",director,British
09234067,"KENNELLY, Sharon Rose",secretary,
09234067,"KENNELLY, Martin Philip",director,British
09234067,"KENNELLY, Sharon Rose",director,British
13792856,"GILL, Hafiz Abdul Malik",director,Pakistani
13792856,"GILL, Abdul Wahab",secretary,
13792856,"GILL, Abdul Wahab",director,Pakistani
15657479,"OLADEINDE, Temidayo Olakunle",director,Nigerian
15657479,"TANIMOLA, Oluwatosin Seun",director,Nigerian
15657479,"TANIMOLA, Christiana Onofue",director,Nigerian
11478199,"LIVESEY, Geoffrey Neil",director,English
11478199,"LIVESEY, Geoffrey Neil",director,English
11478199,"MCDONALD, Barry Michael",director,English
11478199,"SUMPTON, Deborah Jane",director,English
06009640,HILLS & PEEKS SECRETARIES LIMITED,corporate-secretary,
06009640,"JOHANSSON, Marcus",director,Swedish
06009640,"KALLSEN, Pal Ragnar, Mr.",director,Swedish
06009640,"ASEBORN, Per Fredrik, Mr.",director,Swedish
06009640,"CROXFORD, Emma",director,Swedish
05281488,"CRAMPHORN, David",director,British
05281488,"PARFITT, Donna Marie",director,British
05281488,"PARFITT, Ross",director,British
05281488,"CRAMPHORN, Ceris",secretary,British
05281488,FORM 10 SECRETARIES FD LTD,corporate-nominee-secretary,
05281488,FORM 10 DIRECTORS FD LTD,corporate-nominee-director,
15960407,"MONTERO-GOMEZ, Raul",secretary,
15960407,"MONTERO-GOMEZ, Raul",director,British
08699647,"HANBURY-TENISON, Merlin",director,British
08699647,"ROTHERAM, Charles Auston",director,British
08699647,"HANBURY-TENISON, Merlin",director,British
08699647,"RAWLINS, Alexander",director,British
08699647,"TRANT, Richard Brooking",director,British
10891914,"RANDRIANAIVOARIVONY, Felazaha",director,Malagasy
10891914,CT SECRETARIES LIMITED,corporate-secretary,
