company_number,name,role,nationality
12204246,"GOMES, Aguinaldo Pereira",director,Brazilian
OC457258,"GROSJEAN, Stéphane",llp-designated-member,
OC457258,"KABANI, Anis Thomas",llp-designated-member,
OC457258,"KABANI, Sarah Mila",llp-designated-member,
OC457258,"PAVKOVIC, Ivana",llp-designated-member,
16661741,"ABDELKADER, Ben Abdelkader",director,French
09002500,"BORODAI, Alexander",director,British
09002500,"MILYUTINA, Galina",director,English
09002500,"MILYUTINA, Galina",director,British
09002500,"SCOTT, Wayne, Mr.",director,British
09002500,"SCOTT, Wayne",director,British
09002500,"SCOTT, Wayne, Mr.",director,British
02280509,"HOYES, Karen Elizabeth",secretary,
02280509,"HOYES, Paul Andrew",director,English
02280509,"SMITH, Matthew Paul",director,British
02280509,"MANNING, Oi Mun",secretary,British
02280509,"WILLIAMS, Joan Margaret",secretary,British
02280509,"WILLIAMS, Peter",secretary,British
02280509,"MANNING, Robert",director,English
02280509,"PAGE, Duncan Ewan",director,British
02280509,"WILLIAMS, Peter",director,British
11161638,"JONES, Cheryl",secretary,
11161638,"JONES, Glynn",director,British
02159256,"WHITE, Mark William",director,British
02159256,"ARMISTEAD, Christopher John",secretary,British
02159256,"ARMISTEAD, Christopher John",director,British
02159256,"BAGGOTT, Andrew Duncan",director,British
02159256,"CONNORS, Michael John",director,British
02159256,"HANDFORTH, Paul Colin",director,British
02159256,"HANDFORTH, Paul Colin",director,British
02159256,"JARDINE, Nicholas John",director,British
02159256,"RAVENSCROFT, Stephen Roy",director,English
05137435,"HOPPINS, Shaun",secretary,British
05137435,"HOPPINS, Shaun",director,British
05137435,"JOHNS, Richard",director,British
15434653,"ZITOUNI, Mohamed",secretary,
15434653,"ZITOUNI, Hocine",director,Algerian
07906594,"CAWS, Joel David",director,British
07906594,"STRONG, Nicholas Michael",director,British
10411530,"VIVIAN, Daniel",director,British
11906503,"BALOGUN, Olusegun Kolawole",director,Nigerien
FC011486,"ARIAS, Ricardo Alberto",secretary,British
FC011486,"CHAVASSIEU, Christian",secretary,French
FC011486,"WELSH, David",secretary,British
FC011486,"CHEREL, Olivier",director,French
FC011486,"SARRAMEA, Maurice Rene",director,French
FC011486,"WALLS, Christopher Stuart",director,British
14785393,"JACHYM, Dariusz",director,Polish
16399227,"FIGUERA DIAZ, Geraldine Kayleigh, Mrs.",director,Venezuelan
15798845,"MEHMOOD, Shahid",director,British
12984702,"GEORGE, Dylan",director,British
12984702,"SINGH, Avtar",director,Indian
12899515,"BORKOWSKI, Edward",director,Polish
13868950,"GOULD, Michael John",director,British
15593440,"CURWOOD, Louisa Lauren",director,British
08195916,"PHARO, Cristina",director,British
02024106,"HAZLEDINE, Janice Christine",secretary,British
02024106,"DYE, Douglas Stuart",director,British
02024106,"HAZLEDINE, Edward Lewis",director,British
02024106,"HAZLEDINE, Janice Christine",director,British
16152880,"ROSSETTI, Riccardo Giorgio, Señor",director,Swiss
07121361,"HOLT, John",director,British
15257525,"FRERE, Daniel",director,Belgian
16266703,"IAMANDI, Gabriel",director,Romanian
16093027,"HORTON, Adele",director,British
16093027,"MORRIS, Michael Joseph",director,British
09079706,"HODGKINSON, David Howard",director,British
09079706,"JENKINS, Michael John Madoc",director,British
09079706,"KILGOUR, Jacqueline Cecilia",director,British
09079706,"O'BRIEN, Thomas Norman",director,British
09079706,AMBANT UNDERWRITING SERVICES LIMITED,corporate-secretary,
09079706,"BUTCHER, Christopher Stewart",director,British
11615011,"JENKINS, Michael John Madoc",director,British
11615011,SERVICES FAMILY LTD,corporate-director,
07480906,"CALDWELL, Michael Michael",director,British
15269815,"OBANO, Oghenesuvwe",director,British
10555882,"HASSAN, Hassan",director,Dutch
10555882,"HASSAN, Hassan",director,Dutch
15759534,"BAKRY, Walaa Eldeen Abdelmawgoud Mohamed",director,British
15759534,"ELDEGWY, Ahmed Mohamed Sherif Mohamed Wagih",director,Egyptian
06756192,"BARNES, Angela Clare",director,British
06756192,"BARNES, David",secretary,
06756192,"MOON, Allison Marie",director,British
07739831,"ALCOCK, David",secretary,British
07739831,"BOLTON, David Edward",director,English
07739831,"BORG-BARTOLO, Peter, Dr",director,Maltese
07739831,"COONEY, Joanna Christine",director,British
07739831,"DEBENHAM, Jory, Dr",director,Canadian
07739831,"HALL, Martin Anthony",director,British
07739831,"MANSELL, Eluned",director,British
07739831,"SMITH, Sarah Elizabeth",director,British
07739831,"STONE, Paul Clive",director,British
07739831,"WILSON, Oliver John Goodall",director,British
07739831,"BARRY, Jamie Geoffrey",director,British
07739831,"CALVIN, Selwyn Lloyd",director,British
07739831,"CHITTY, Martin Edward",director,British
07739831,"CLEMENTS-WHEELER, Matthew James",director,British
07739831,"COLLIN, Martyn Christopher",director,British
07739831,"DAVIES, Philip Paul",director,British
07739831,"HUGHES, Jacqueline Louise, Revd",director,British
07739831,"KENNEY, Elaine",director,British
07739831,"PERKINS, David Christopher",director,British
07739831,"SINGH, Parmjit",director,British
07739831,"TAYLOR, Sally Anne",director,British
07739831,"VACHTER, Shimri",director,Israeli
07739831,"WATERS, Michael John, Professor",director,English
07739831,"WILLIAMS, Eric",director,British
07739831,"WILLIAMS, Laura Elizabeth",director,British
16764639,"IQBAL, Amar Ali",director,Italian
15863080,"OYARBIDE, Jessica",director,Argentine
15863080,"ROMERO, Maria Virginia",director,Argentine
15863080,"ZHAMAGORTSYAN, Karen",director,Argentine
04624968,"MCPHERSON, Euan",secretary,
04624968,"GREEN, Nicholas John",director,British
04624968,"HUGHES, David",director,British
04624968,"MANLEY, Vicki Louise",director,British
04624968,"MISSELBROOK, Thomas Richard",director,British
04624968,"ROGERS, John",director,British
04624968,"ROWSON, Peter",director,British
04624968,"THORNBY, Julie",director,British
04624968,"THOMAS, Kate",secretary,
04624968,"TWEED RYCROFT, Marion Frances",secretary,British
04624968,SECRETARIAL APPOINTMENTS LIMITED,corporate-nominee-secretary,
04624968,"CORNELL, Maria May",director,British
04624968,"CROOK, Dorothy",director,British
04624968,"DAVIES, Lucy Rhiannon",director,British
04624968,"FICKLING, John",director,British
04624968,"FOSTER, Sandie",director,British
04624968,"FREEBREY, Terry",director,British
04624968,"GILL, Deverson John",director,British
04624968,"HAMBLIN, Amanda Jane",director,British
04624968,"HANDS, Gillian Anne",director,British
04624968,"HIGHAM, Angela",director,British
04624968,"HODDER, Anthony Mark",director,British
04624968,"HOPPER, Geoffrey Crosby",director,British
04624968,"JAVENS, Colin Nicholas",director,British
04624968,"LEVICK, Martin",director,British
04624968,"LLOYD, Elizabeth Mary",director,British
04624968,"LYONS, Joan",director,British
04624968,"MACKAY, Shirley",director,British
04624968,"MCPHERSON, Elspeth Veronica",director,British
04624968,"MILLMAN, Barbara Betty",director,British
04624968,"MILLS, Barry",director,British
04624968,"NICHOLLS, Sylvie",director,British
04624968,"NICOLSON-JAMES, Victoria Anne",director,British
04624968,"O'NEILL, Margaret",director,British
04624968,"PAINTER, Roger Philip",director,British
04624968,"PALMER, Gyles David",director,British
04624968,"PENDLETON, Angela Marguerite",director,British
04624968,"PENFOLD, Anthea Frances",director,British
04624968,"POWELL, Graham",director,British
04624968,"PRICE, David John",director,British
04624968,"SCHOFIELD, Kate",director,British
04624968,"SMALLEY, Stephanie Jill",director,British
04624968,"WARNER, Christine",director,British
04624968,"WEDLAKE, Matthew",director,British
04624968,CORPORATE APPOINTMENTS LIMITED,corporate-nominee-director,
14731600,"HOLLINGSWORTH, Kim",director,British
14731600,1ST SECRETARIES LIMITED,corporate-secretary,
11357604,"BENGALI, Kavita",secretary,
11357604,"VISHROLIA, Dharmesh Dullabbhai",director,British
11357604,"BENGALI, Kavita",secretary,
11357604,"BENGALI, Kavita",director,British
14339780,"FITZGERALD, Cormac",director,Irish
08934548,"SHAH, Mihir",director,British
08934548,"RESHAMWALA, Shonak",director,Indian
11539431,"FRAZ, Muhammad Moazam",director,Pakistani
11539431,"AHMED, Waris Jamal",director,British
07049395,"CARDONA, Ofelia",director,Italian
07049395,"ROMERO SANTORO, Arturo Fabio",director,British
07049395,"PISCIOTTI, Raul",secretary,
14858538,"VISHROLIA, Dharmesh Dullabbhai",director,British
06560398,"BARKER, Robin",director,British
06560398,"BARRINGTON, Eleanor Jane",director,British
06560398,Corporate Appointments Limited,corporate-director,
14318460,"BASHIR, Adnan",director,Pakistani
14318460,"JAWADWALA, Fatema",director,Indian
14318460,"JAWADWALA, Murtaza Aliasger",director,Indian
14318460,"MEHMOOD, Talat",director,British
11636155,"RUS, Anca Maria",director,Romanian
03748372,SAME-DAY COMPANY SERVICES LIMITED,corporate-secretary,
03748372,"POTTER, Susannah Jane Nina",director,British
03748372,SAME-DAY COMPANY SERVICES LIMITED,corporate-nominee-secretary,
03748372,SUCCESSABILITY LIMITED,corporate-secretary,
03748372,WILDMAN & BATTELL LIMITED,corporate-nominee-director,
09159526,"ELMERSAWI, Mohamed Elsayed Abdelfattah",director,Egyptian
09159526,"FAYED, Baraa",director,Kuwaiti
15277835,"STARBUCK, Robert",director,British
15568196,"YOUSAF, Zargham",director,Pakistani
16703953,"RUDUKS, Nedas",director,Lithuanian
16966308,"SINGH, Anil Kumar",director,British
08628145,"MILNER, Jason Robin",director,British
08628145,"RANDHAWA, Manjit Kaur",director,British
08628145,"NICKOLDS, Carol",secretary,
08628145,"NICKOLDS, Carol",director,British
08628145,"PLANT, James",director,British
08628145,"POWNALL, Jayne Edwina",director,British
11911240,"BATTERSBY, Thomas John",director,British
11911240,"BATTERSBY, Robert William",director,British
11911240,"BATTERSBY, Thomas John",director,British
11911240,"STRINGFELLOW, Anthony James",director,British
09433999,"REIGNIER, Gael",director,French
11768102,"OSEI YAW, Pious Nana",director,British
11768102,"PEPRAH, Afua Antwiwaa",director,Ghanaian
06256522,"KHAN, Ali",director,British
06256522,"RAGAZZINI, Diana",director,British
06256522,"RAGAZZINI, Michela",secretary,
06256522,"WATSON, Angela",secretary,British
06256522,"CETARA, Diana",director,Italian
06256522,"CIOFFI, Elisabetta",director,Italian
06256522,"MONTAGNA, Andrea",director,Italian
06256522,"VERINI, Maurizio",director,Italian
06256522,"WATSON, Angela",director,British
10710390,"PATEL, Hiren",secretary,
10710390,"GHOURBANDI, Hanif",director,Afghan
10710390,"PATEL, Kundan",director,British
11172994,"TESNIERE, Vladimir",director,French
11172994,KENILWORTH TRADING LIMITED,corporate-secretary,
07037290,"GALA, Biren, Mr.",director,Indian
07037290,FORT MANAGEMENT SERVICES LIMITED,corporate-secretary,
07037290,"ACKRILL, Helen St Clair",director,British
07037290,"ENSINK, Joseph Clemens",director,Dutch
07037290,"SCALORA, Filippe Alexander",director,British
07037290,ELTON LIMITED,corporate-director,
07037290,FORT LIMITED,corporate-director,
14955260,"KHARBOUCH, Reda",secretary,
14955260,"KHARBOUCH, Reda",director,Moroccan
07572507,"DONCHEV, Doncho Hristov",director,British
07572507,"DONCHEVA, Evgeniya Petkova",director,British
07572507,NOMINEE SECRETARY LTD,corporate-secretary,
07572507,"COALES, Edwina",director,British
07572507,NOMINEE DIRECTOR LTD,corporate-director,
16416724,"MAKOWSKI, Gunita",director,British
16128403,"ROSE, Jonathan Charles",director,Australian
09220845,"HART, Harry Bimbo",director,British
09220845,"LIM, Sebastian Paul",director,British
09220845,"OSBORNE, James Montague",director,British
09220845,"RATAZZI, Mark Leo",director,British
09220845,"WINGFIELD DIGBY, Frederick John",director,British
16636787,"BASHIR, Hafiz Mohsin",director,Pakistani
14377916,"SPINU, Grigore",director,Romanian
14862892,"FALCO, Frances Michelle",director,British
14789872,"HERNANDO HORCAS, Sara Maria",director,Spanish
16593198,"REID, Joselito Victor",director,British
10612911,"PATEL, Jinisha Suryakant",director,British
10612911,"PATEL, Vishaal",director,British
12866866,"KHALID, Syed Fizan",director,Pakistani
15911249,"FAGEERO, Gudoo",director,Pakistani
05896621,COMPANIES24 LTD.,corporate-secretary,
05896621,"GRAHAM, George",director,British
05896621,SECONNECT LTD,corporate-secretary,
05896621,"ADAMSKI, Bernd",director,German
12898362,"JORDAN, Mandy Elizabeth",secretary,
12898362,"BULL, Geoffrey Lewis",director,English
14910282,"MHINA, Ghalib Farid",secretary,
14910282,"MHINA, Ghalib Farid",director,Tanzanian
14910282,"THORNTON, Nuala Martine",director,British
04421039,"HANCOCK, Mark Alan",secretary,British
04421039,"HANCOCK, Mark Alan",director,British
04421039,"HANCOCK, Terence Michael",director,British
04421039,"WILSON, Kay",secretary,British
04421039,LONDON LAW SECRETARIAL LIMITED,corporate-nominee-secretary,
04421039,LONDON LAW SERVICES LIMITED,corporate-nominee-director,
09057046,"SIRIWARDENA, Dinendra Prasad",director,British
14056091,"HDIDOU, Soufiane",secretary,
14056091,"HDIDOU, Soufiane",director,Moroccan
02901502,"MCMILLAN, Stuart John",secretary,British
02901502,"MCMILLAN, Stuart John",director,British
02901502,SWIFT INCORPORATIONS LIMITED,corporate-nominee-secretary,
02901502,"LEITCH, Stephen John",director,British
02901502,"MCMILLAN, James John",director,British
02901502,"NARRACOTT, Simon Charles",director,British
02901502,"STOTT, Alexander James Herbert",director,British
02901502,"WHITFIELD, Anthony Gary Peter",director,British
14923993,"SINGH, Ajay",director,Indian
14016736,"KHAN, Saba",secretary,
14016736,"KHAN, Zeeshan",director,British
14975325,"WELLS, Ian",director,British
16413771,"FOLAMI, Aramide Modupe",director,Nigerian
16315588,"FOLAMI, Aramide Modupe",director,Nigerian
15918412,"DE SOUSA SALAZAR, Jose Gabriel",director,Portuguese
11145806,"AWOBODE, Olusiji Olumide",secretary,
11145806,"AWOBODE, Olusiji Olumide",director,Nigerian
15199735,"NEW, Jason Christopher",director,British
15199735,"CERKASOVS, Germans",director,Russian
15199735,"VITOLS, Gints",director,Latvian
15994657,"ZAIDI, Syed Talha Ahmad",director,Pakistani
15994657,"TALHA, Marvi",director,Pakistani
05887695,PRAMEX INTERNATIONAL LTD,corporate-secretary,
